###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	0.0	0.0	0	0	-4.19209957123
2	0.0	0.0	0	0	-4.19209957123
3	0.0	0.0	0	0	-4.19209957123
4	0.0	0.0	0	0	-4.19209957123
5	0.0	0.0	0	0	-4.19209957123
6	0.0	0.0	0	0	-4.19209957123
7	0.0	0.0	0	0	-4.19209957123
8	0.0	0.0	0	0	-4.19209957123
9	0.0	0.0	0	0	-4.19209957123
10	2.01849722862	0.148154780269	-5741	9	-4.19209957123
11	17.9686450958	0.807557582855	-28096	86	-1.10153543949
12	71.0338592529	1.64062952995	2756	316	-0.657788932323
13	151.30531311	3.02055692673	-24216	688	-0.882272481918
14	260.247192383	7.78741550446	-19424	1158	-3.52908992767
15	391.614044189	18.1917858124	24496	1744	-4.19209957123
16	548.557250977	35.927822113	-23991	2473	-5.07437181473
17	736.553771973	62.7682991028	-22283	3322	-6.17590761185
18	940.721496582	100.114402771	11796	4250	-6.40039110184
19	1178.52990723	151.563293457	-7746	5296	-6.40039110184
20	1432.44714355	219.428375244	13598	6465	-7.72118902206
21	1703.19165039	312.866119385	2814	7739	-9.71021747589
22	1964.82580566	427.245269775	2906	9054	-10.1487436295
23	2218.63745117	558.09362793	5718	10324	-10.1487436295
24	2472.01611328	709.160766602	3724	11591	-10.1487436295
25	2708.71362305	872.074462891	-12382	12869	-10.3732280731
26	2945.13964844	1059.16650391	-12762	14210	-10.811753273
27	3166.74902344	1262.61071777	14016	15596	-10.811753273
28	3373.12744141	1479.6328125	11070	16928	-10.811753273
29	3571.21875	1718.73681641	30336	18261	-10.5924901962
30	3747.20898438	1961.61352539	30900	19595	-10.5924901962
31	3920.7253418	2242.62817383	-29640	21064	-10.811753273
32	4064.421875	2527.98828125	12494	22541	-11.036236763
33	4190.12060547	2812.10546875	12970	23868	-10.811753273
34	4291.07519531	3092.42333984	32427	25193	-9.71021747589
35	4379.04150391	3377.06958008	5921	26518	-9.26647090912
36	4461.94482422	3664.19824219	13947	27897	-5.07437181473
37	4553.16113281	3962.90478516	29077	29240	-3.52908992767
38	4642.54980469	4250.46191406	18400	30575	-3.0853433609
39	4731.10351562	4538.72705078	-2242	31916	-1.54006147385
40	4819.40771484	4827.77685547	15608	33260	-1.76454496384
41	4898.67578125	5116.14648438	15817	34638	-3.52908992767
42	4965.37744141	5419.1953125	30930	35972	-4.41136264801
43	5018.64257812	5717.92626953	-15000	37320	-5.95664453506
44	5055.30371094	6033.30957031	1713	38732	-6.17590761185
45	5078.72998047	6353.55517578	26378	40160	-6.40039110184
46	5081.63574219	6673.46191406	-3906	41633	-8.164935112
47	5056.87890625	7001.87548828	-25851	43048	-9.71021747589
48	5003.02929688	7319.01318359	-23958	44479	-11.036236763
49	4917.91845703	7628.73828125	-10130	45958	-12.3570356369
50	4801.24072266	7941.31835938	-17933	47392	-11.2554998398
51	4682.16259766	8239.79394531	-23026	48821	-7.94567251205
52	4553.52050781	8545.71875	-19846	50306	-9.26647090912
53	4383.46240234	8821.99023438	32656	51789	-12.5815191269
54	4183.37402344	9085.81445312	28903	53211	-13.0200443268
55	3966.81518555	9323.10351562	1539	54640	-13.0200443268
56	3734.43676758	9539.73925781	27040	56103	-11.9185085297
57	3495.92089844	9751.37890625	-28205	57522	-7.28266334534
