###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	0.0	0.0	0	0	-5.07437181473
2	0.0	0.0	0	0	-5.07437181473
3	0.0	0.0	0	0	-5.07437181473
4	0.0	0.0	0	0	-5.07437181473
5	0.0	0.0	0	0	-5.07437181473
6	0.0	0.0	0	0	-5.07437181473
7	0.0	0.0	0	0	-5.07437181473
8	0.0	0.0	0	0	-5.07437181473
9	0.0	0.0	0	0	-5.07437181473
10	0.0	0.0	0	0	-5.07437181473
11	0.0	0.0	0	0	-5.07437181473
12	0.0	0.0	0	0	-5.07437181473
13	0.0	0.0	0	0	-5.07437181473
14	0.0	0.0	0	0	-5.07437181473
15	0.0	0.0	0	0	-5.07437181473
16	0.0	0.0	0	0	-5.07437181473
17	0.0	0.0	0	0	-5.07437181473
18	0.0	0.0	0	0	-5.07437181473
19	0.0	0.0	0	0	-5.07437181473
20	0.0	0.0	0	0	-5.07437181473
21	0.0	0.0	0	0	-5.07437181473
22	0.0	0.0	0	0	-5.07437181473
23	0.0	0.0	0	0	-5.07437181473
24	0.0	0.0	0	0	-5.07437181473
25	0.0	0.0	0	0	-5.07437181473
26	0.0	0.0	0	0	-5.07437181473
27	0.0	0.0	0	0	-5.07437181473
28	0.0	0.0	0	0	-5.07437181473
29	0.0	0.0	0	0	-5.07437181473
30	0.0	0.0	0	0	-5.07437181473
31	0.0	0.0	0	0	-5.07437181473
32	0.0	0.0	0	0	-5.07437181473
33	0.0	0.0	0	0	-5.07437181473
34	0.0	0.0	0	0	-5.07437181473
35	0.0	0.0	0	0	-5.07437181473
36	0.0	0.0	0	0	-5.07437181473
37	0.0	0.0	0	0	-5.07437181473
38	0.0	0.0	0	0	-5.07437181473
39	0.0	0.0	0	0	-5.07437181473
40	0.0	0.0	0	0	-5.07437181473
41	0.0	0.0	0	0	-5.07437181473
42	0.0	0.0	0	0	-5.07437181473
43	0.0	0.0	0	0	-5.07437181473
44	0.0	0.0	0	0	-5.07437181473
45	0.0	0.0	0	0	-5.07437181473
46	0.0	0.0	0	0	-5.07437181473
47	0.0	0.0	0	0	-5.07437181473
48	0.0	0.0	0	0	-5.07437181473
49	0.0	0.0	0	0	-5.07437181473
50	0.0	0.0	0	0	-5.07437181473
51	0.0	0.0	0	0	-5.07437181473
52	0.0	0.0	0	0	-5.07437181473
53	0.0	0.0	0	0	-5.07437181473
54	0.0	0.0	0	0	-5.07437181473
55	0.0	0.0	0	0	-5.07437181473
56	0.0	0.0	0	0	-5.07437181473
57	0.0	0.0	0	0	-5.07437181473
58	0.0	0.0	0	0	-5.07437181473
59	0.0	0.0	0	0	-5.07437181473
60	0.0	0.0	0	0	-5.07437181473
61	0.0	0.0	0	0	-5.07437181473
62	0.0	0.0	0	0	-5.07437181473
63	0.0	0.0	0	0	-5.07437181473
64	0.0	0.0	0	0	-5.07437181473
65	0.0	0.0	0	0	-5.07437181473
66	0.0	0.0	0	0	-5.07437181473
67	0.0	0.0	0	0	-5.07437181473
68	0.0	0.0	0	0	-5.07437181473
69	0.0	0.0	0	0	-5.07437181473
70	0.0	0.0	0	0	-5.07437181473
71	0.0	0.0	0	0	-5.07437181473
72	0.0	0.0	0	0	-5.07437181473
73	0.0	0.0	0	0	-5.07437181473
74	0.0	0.0	0	0	-5.07437181473
75	0.0	0.0	0	0	-5.07437181473
76	0.0	0.0	0	0	-5.07437181473
77	0.0	0.0	0	0	-5.07437181473
78	0.0	0.0	0	0	-5.07437181473
79	0.0	0.0	0	0	-5.07437181473
80	0.0	0.0	0	0	-5.07437181473
81	0.0	0.0	0	0	-5.07437181473
82	0.0	0.0	0	0	-5.07437181473
83	0.0	0.0	0	0	-5.07437181473
84	0.0	0.0	0	0	-5.07437181473
85	0.0	0.0	0	0	-5.07437181473
86	0.0	0.0	0	0	-5.07437181473
87	0.0	0.0	0	0	-5.07437181473
88	0.0	0.0	0	0	-5.07437181473
89	0.0	0.0	0	0	-5.07437181473
90	0.0	0.0	0	0	-5.07437181473
91	0.0	0.0	0	0	-5.07437181473
92	0.0	0.0	0	0	-5.07437181473
93	0.0	0.0	0	0	-5.07437181473
94	0.0	0.0	0	0	-5.07437181473
95	0.0	0.0	0	0	-5.07437181473
96	0.0	0.0	0	0	-5.07437181473
97	0.0	0.0	0	0	-5.07437181473
98	0.0	0.0	0	0	-5.07437181473
99	0.0	0.0	0	0	-5.07437181473
100	0.0	0.0	0	0	-5.07437181473
101	0.0	0.0	0	0	-5.07437181473
102	0.0	0.0	0	0	-5.07437181473
103	0.0	0.0	0	0	-5.07437181473
104	0.0	0.0	0	0	-5.07437181473
105	0.0	0.0	0	0	-5.07437181473
106	0.0	0.0	0	0	-5.07437181473
107	0.0	0.0	0	0	-5.07437181473
108	0.0	0.0	0	0	-5.07437181473
109	0.0	0.0	0	0	-5.07437181473
110	0.0	0.0	0	0	-5.07437181473
111	0.0	0.0	0	0	-5.07437181473
112	0.0	0.0	0	0	-5.07437181473
113	0.0	0.0	0	0	-5.07437181473
114	0.0	0.0	0	0	-5.07437181473
115	0.0	0.0	0	0	-5.07437181473
116	0.0	0.0	0	0	-5.07437181473
117	0.0	0.0	0	0	-5.07437181473
118	0.0	0.0	0	0	-5.07437181473
119	0.0	0.0	0	0	-5.07437181473
120	0.0	0.0	0	0	-5.07437181473
121	0.0	0.0	0	0	-5.07437181473
122	0.0	0.0	0	0	-5.07437181473
123	0.0	0.0	0	0	-5.07437181473
124	0.0	0.0	0	0	-5.07437181473
125	0.0	0.0	0	0	-5.07437181473
126	0.0	0.0	0	0	-5.07437181473
127	0.0	0.0	0	0	-5.07437181473
128	0.0	0.0	0	0	-5.07437181473
129	0.0	0.0	0	0	-5.07437181473
130	0.0	0.0	0	0	-5.07437181473
131	0.0	0.0	0	0	-5.07437181473
132	0.0	0.0	0	0	-5.07437181473
133	0.0	0.0	0	0	-5.07437181473
134	0.0	0.0	0	0	-5.07437181473
135	0.0	0.0	0	0	-5.07437181473
136	0.0	0.0	0	0	-5.07437181473
137	0.0	0.0	0	0	-5.07437181473
138	0.0	0.0	0	0	-5.07437181473
139	0.0	0.0	0	0	-5.07437181473
140	0.0	0.0	0	0	-5.07437181473
141	0.0	0.0	0	0	-5.07437181473
142	0.0	0.0	0	0	-5.07437181473
143	0.0	0.0	0	0	-5.07437181473
144	0.0	0.0	0	0	-5.07437181473
145	0.0	0.0	0	0	-5.07437181473
146	0.0	0.0	0	0	-5.07437181473
147	0.0	0.0	0	0	-5.07437181473
148	0.0	0.0	0	0	-5.07437181473
149	0.0	0.0	0	0	-5.07437181473
150	0.0	0.0	0	0	-5.07437181473
151	0.0	0.0	0	0	-5.07437181473
152	0.0	0.0	0	0	-5.07437181473
153	0.0	0.0	0	0	-5.07437181473
154	0.0	0.0	0	0	-5.07437181473
155	0.0	0.0	0	0	-5.07437181473
156	0.0	0.0	0	0	-5.07437181473
157	0.0	0.0	0	0	-5.07437181473
158	0.0	0.0	0	0	-5.07437181473
159	0.0	0.0	0	0	-5.07437181473
160	0.0	0.0	0	0	-5.07437181473
161	0.0	0.0	0	0	-5.07437181473
162	0.0	0.0	0	0	-5.07437181473
163	0.0	0.0	0	0	-5.07437181473
164	0.0	0.0	0	0	-5.07437181473
165	0.0	0.0	0	0	-5.07437181473
166	0.0	0.0	0	0	-5.07437181473
167	0.0	0.0	0	0	-5.07437181473
168	0.0	0.0	0	0	-5.07437181473
169	0.0	0.0	0	0	-5.07437181473
170	0.0	0.0	0	0	-5.07437181473
171	0.0	0.0	0	0	-5.07437181473
172	0.0	0.0	0	0	-5.07437181473
173	0.0	0.0	0	0	-5.07437181473
174	0.0	0.0	0	0	-5.07437181473
175	0.0	0.0	0	0	-5.07437181473
176	0.0	0.0	0	0	-5.07437181473
177	0.0	0.0	0	0	-5.07437181473
178	0.0	0.0	0	0	-5.07437181473
179	0.0	0.0	0	0	-5.07437181473
180	0.0	0.0	0	0	-5.07437181473
181	0.0	0.0	0	0	-5.07437181473
182	0.0	0.0	0	0	-5.07437181473
183	0.0	0.0	0	0	-5.07437181473
184	0.0	0.0	0	0	-5.07437181473
185	0.0	0.0	0	0	-5.07437181473
186	0.0	0.0	0	0	-5.07437181473
187	0.0	0.0	0	0	-5.07437181473
188	0.0	0.0	0	0	-5.07437181473
189	0.0	0.0	0	0	-5.07437181473
190	0.0	0.0	0	0	-5.07437181473
191	0.0	0.0	0	0	-5.07437181473
192	0.0	0.0	0	0	-5.07437181473
193	0.0	0.0	0	0	-5.07437181473
194	0.0	0.0	0	0	-5.07437181473
195	0.0	0.0	0	0	-5.07437181473
196	0.0	0.0	0	0	-5.07437181473
197	0.0	0.0	0	0	-5.07437181473
198	0.0	0.0	0	0	-5.07437181473
199	0.0	0.0	0	0	-5.07437181473
200	0.0	0.0	0	0	-5.07437181473
201	0.0	0.0	0	0	-5.07437181473
202	0.0	0.0	0	0	-5.07437181473
203	0.0	0.0	0	0	-5.07437181473
204	0.0	0.0	0	0	-5.07437181473
205	0.0	0.0	0	0	-5.07437181473
206	0.0	0.0	0	0	-5.07437181473
207	0.0	0.0	0	0	-5.07437181473
208	0.0	0.0	0	0	-5.07437181473
209	0.0	0.0	0	0	-5.07437181473
210	0.0	0.0	0	0	-5.07437181473
211	0.0	0.0	0	0	-5.07437181473
212	0.0	0.0	0	0	-5.07437181473
213	0.0	0.0	0	0	-5.07437181473
214	0.0	0.0	0	0	-5.07437181473
215	0.0	0.0	0	0	-5.07437181473
216	0.0	0.0	0	0	-5.07437181473
217	0.0	0.0	0	0	-5.07437181473
218	0.0	0.0	0	0	-5.07437181473
219	0.0	0.0	0	0	-5.07437181473
220	0.0	0.0	0	0	-5.07437181473
221	0.0	0.0	0	0	-5.07437181473
222	0.0	0.0	0	0	-5.07437181473
223	0.0	0.0	0	0	-5.07437181473
224	0.0	0.0	0	0	-5.07437181473
225	0.0	0.0	0	0	-5.07437181473
226	0.0	0.0	0	0	-5.07437181473
227	0.0	0.0	0	0	-5.07437181473
228	0.0	0.0	0	0	-5.07437181473
229	0.0	0.0	0	0	-5.07437181473
230	0.0	0.0	0	0	-5.07437181473
231	0.0	0.0	0	0	-5.07437181473
232	0.0	0.0	0	0	-5.07437181473
233	0.0	0.0	0	0	-5.07437181473
234	0.0	0.0	0	0	-5.07437181473
235	0.0	0.0	0	0	-5.07437181473
236	0.0	0.0	0	0	-5.07437181473
237	0.0	0.0	0	0	-5.07437181473
238	0.0	0.0	0	0	-5.07437181473
239	0.0	0.0	0	0	-5.07437181473
240	0.0	0.0	0	0	-5.07437181473
241	0.0	0.0	0	0	-5.07437181473
242	0.0	0.0	0	0	-5.07437181473
243	0.0	0.0	0	0	-5.07437181473
244	0.0	0.0	0	0	-5.07437181473
245	0.0	0.0	0	0	-5.07437181473
246	0.0	0.0	0	0	-5.07437181473
247	0.0	0.0	0	0	-5.07437181473
248	0.0	0.0	0	0	-5.07437181473
249	0.0	0.0	0	0	-5.07437181473
250	0.0	0.0	0	0	-5.07437181473
251	0.0	0.0	0	0	-5.07437181473
252	0.0	0.0	0	0	-5.07437181473
253	0.0	0.0	0	0	-5.07437181473
254	0.0	0.0	0	0	-5.07437181473
255	0.0	0.0	0	0	-5.07437181473
256	0.0	0.0	0	0	-5.07437181473
257	0.0	0.0	0	0	-5.07437181473
258	0.0	0.0	0	0	-5.07437181473
259	0.0	0.0	0	0	-5.07437181473
260	0.0	0.0	0	0	-5.07437181473
261	0.0	0.0	0	0	-5.07437181473
262	0.0	0.0	0	0	-5.07437181473
263	0.0	0.0	0	0	-5.07437181473
264	0.0	0.0	0	0	-5.07437181473
265	0.0	0.0	0	0	-5.07437181473
266	0.0	0.0	0	0	-5.07437181473
267	0.0	0.0	0	0	-5.07437181473
268	0.0	0.0	0	0	-5.07437181473
269	0.0	0.0	0	0	-5.07437181473
270	0.0	0.0	0	0	-5.07437181473
271	0.0	0.0	0	0	-5.07437181473
272	0.0	0.0	0	0	-5.07437181473
273	0.0	0.0	0	0	-5.07437181473
274	0.0	0.0	0	0	-5.07437181473
275	0.0	0.0	0	0	-5.07437181473
276	0.0	0.0	0	0	-5.07437181473
277	0.0	0.0	0	0	-5.07437181473
278	0.0	0.0	0	0	-5.07437181473
279	0.0	0.0	0	0	-5.07437181473
280	0.0	0.0	0	0	-5.07437181473
281	0.0	0.0	0	0	-5.07437181473
282	0.0	0.0	0	0	-5.07437181473
283	0.0	0.0	0	0	-5.07437181473
284	0.0	0.0	0	0	-5.07437181473
285	0.0	0.0	0	0	-5.07437181473
286	0.0	0.0	0	0	-5.07437181473
287	0.0	0.0	0	0	-5.07437181473
288	0.0	0.0	0	0	-5.07437181473
289	0.0	0.0	0	0	-5.07437181473
290	0.0	0.0	0	0	-5.07437181473
291	0.0	0.0	0	0	-5.07437181473
292	0.0	0.0	0	0	-5.07437181473
293	0.0	0.0	0	0	-5.07437181473
294	0.0	0.0	0	0	-5.07437181473
295	0.0	0.0	0	0	-5.07437181473
296	0.0	0.0	0	0	-5.07437181473
297	0.0	0.0	0	0	-5.07437181473
298	0.0	0.0	0	0	-5.07437181473
299	0.0	0.0	0	0	-5.07437181473
300	0.0	0.0	0	0	-5.07437181473
301	0.0	0.0	0	0	-5.07437181473
302	0.0	0.0	0	0	-5.07437181473
303	0.0	0.0	0	0	-5.07437181473
304	0.0	0.0	0	0	-5.07437181473
305	0.0	0.0	0	0	-5.07437181473
306	0.0	0.0	0	0	-5.07437181473
307	0.0	0.0	0	0	-5.07437181473
308	0.0	0.0	0	0	-5.07437181473
309	0.0	0.0	0	0	-5.07437181473
310	0.0	0.0	0	0	-5.07437181473
311	0.0	0.0	0	0	-5.07437181473
312	0.0	0.0	0	0	-5.07437181473
313	0.0	0.0	0	0	-5.07437181473
314	0.0	0.0	0	0	-5.07437181473
315	0.0	0.0	0	0	-5.07437181473
316	0.0	0.0	0	0	-5.07437181473
317	0.0	0.0	0	0	-5.07437181473
318	0.0	0.0	0	0	-5.07437181473
319	0.0	0.0	0	0	-5.07437181473
320	0.0	0.0	0	0	-5.07437181473
321	0.0	0.0	0	0	-5.07437181473
322	0.0	0.0	0	0	-5.07437181473
323	0.0	0.0	0	0	-5.07437181473
324	0.0	0.0	0	0	-5.07437181473
325	0.0	0.0	0	0	-5.07437181473
326	0.0	0.0	0	0	-5.07437181473
327	0.0	0.0	0	0	-5.07437181473
328	0.0	0.0	0	0	-5.07437181473
329	0.0	0.0	0	0	-5.07437181473
330	0.0	0.0	0	0	-5.07437181473
331	0.0	0.0	0	0	-5.07437181473
332	0.0	0.0	0	0	-5.07437181473
333	0.0	0.0	0	0	-5.07437181473
334	0.0	0.0	0	0	-5.07437181473
335	0.0	0.0	0	0	-5.07437181473
336	0.0	0.0	0	0	-5.07437181473
337	0.0	0.0	0	0	-5.07437181473
338	0.0	0.0	0	0	-5.07437181473
339	0.0	0.0	0	0	-5.07437181473
340	0.0	0.0	0	0	-5.07437181473
341	0.0	0.0	0	0	-5.07437181473
342	0.0	0.0	0	0	-5.07437181473
343	0.0	0.0	0	0	-5.07437181473
344	0.0	0.0	0	0	-5.07437181473
345	0.0	0.0	0	0	-5.07437181473
346	0.0	0.0	0	0	-5.07437181473
347	0.0	0.0	0	0	-5.07437181473
348	0.0	0.0	0	0	-5.07437181473
349	0.0	0.0	0	0	-5.07437181473
350	0.0	0.0	0	0	-5.07437181473
351	0.0	0.0	0	0	-5.07437181473
352	0.0	0.0	0	0	-5.07437181473
353	0.0	0.0	0	0	-5.07437181473
354	0.0	0.0	0	0	-5.07437181473
355	0.0	0.0	0	0	-5.07437181473
356	0.0	0.0	0	0	-5.07437181473
357	0.0	0.0	0	0	-5.07437181473
358	0.0	0.0	0	0	-5.07437181473
359	0.0	0.0	0	0	-5.07437181473
360	0.0	0.0	0	0	-5.07437181473
361	0.0	0.0	0	0	-5.07437181473
362	0.0	0.0	0	0	-5.07437181473
363	0.0	0.0	0	0	-5.07437181473
364	0.0	0.0	0	0	-5.07437181473
365	0.0	0.0	0	0	-5.07437181473
366	0.0	0.0	0	0	-5.07437181473
367	0.0	0.0	0	0	-5.07437181473
368	0.0	0.0	0	0	-5.07437181473
369	0.0	0.0	0	0	-4.41136264801
370	0.0	0.0	0	0	-2.86608052254
371	0.0	0.0	0	0	-1.98380792141
372	0.0	0.0	0	0	-1.54006147385
373	0.0	0.0	0	0	-1.32079851627
374	0.0	0.0	0	0	-1.10153543949
375	0.0	0.0	0	0	-0.882272481918
376	0.0	0.0	0	0	-0.438525944948
377	0.0	0.0	0	0	-0.438525944948
378	0.0	0.0	0	0	0.0
379	0.0	0.0	0	0	0.0
380	0.0	0.0	0	0	0.0
381	0.0	0.0	0	0	0.219262972474
382	0.0	0.0	0	0	0.438525944948
383	0.0	0.0	0	0	0.438525944948
384	0.0	0.0	0	0	0.657788932323
385	0.0	0.0	0	0	0.657788932323
386	0.0	0.0	0	0	0.882272481918
387	0.0	0.0	0	0	0.882272481918
388	0.0	0.0	0	0	1.10153543949
389	0.0	0.0	0	0	1.10153543949
390	0.0	0.0	0	0	1.10153543949
391	0.0	0.0	0	0	1.10153543949
392	0.0	0.0	0	0	1.10153543949
393	0.0	0.0	0	0	1.10153543949
394	0.0	0.0	0	0	1.10153543949
395	0.0	0.0	0	0	1.32079851627
396	0.0	0.0	0	0	1.32079851627
397	0.0	0.0	0	0	1.32079851627
398	0.0	0.0	0	0	1.32079851627
399	0.0	0.0	0	0	1.32079851627
400	0.0	0.0	0	0	1.32079851627
401	0.0	0.0	0	0	1.32079851627
402	0.0	0.0	0	0	1.32079851627
