###Truck replay sensors record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	3374.21459961	9699.56835938	2512	35447	5.95664453506
2	3374.21459961	9699.56835938	2512	35447	5.95664453506
3	3374.21459961	9699.56835938	2512	35447	5.95664453506
4	3374.21459961	9699.56835938	2512	35447	5.95664453506
5	3374.21459961	9699.56835938	2512	35447	5.95664453506
6	3374.21459961	9699.56835938	2512	35447	5.95664453506
7	3374.21459961	9699.56835938	2512	35447	5.95664453506
8	3374.21459961	9699.56835938	2512	35447	5.95664453506
9	3374.21459961	9699.56835938	2512	35447	5.95664453506
10	3374.21459961	9699.56835938	2512	35447	5.95664453506
11	3374.21459961	9699.56835938	2512	35447	5.95664453506
12	3374.21459961	9699.56835938	2512	35447	5.95664453506
13	3374.21459961	9699.56835938	2512	35447	5.95664453506
14	3374.21459961	9699.56835938	2512	35447	5.95664453506
15	3374.21459961	9699.56835938	2512	35447	5.95664453506
16	3374.21459961	9699.56835938	2512	35447	5.95664453506
17	3374.21459961	9699.56835938	2512	35447	5.95664453506
18	3374.21459961	9699.56835938	2512	35447	5.95664453506
19	3374.21459961	9699.56835938	2512	35447	5.95664453506
20	3374.21459961	9699.56835938	2512	35447	5.95664453506
21	3374.21459961	9699.56835938	2512	35447	5.95664453506
22	3374.21459961	9699.56835938	2512	35447	5.95664453506
23	3374.21459961	9699.56835938	2512	35447	5.95664453506
24	3374.21459961	9699.56835938	2512	35447	5.95664453506
25	3374.21459961	9699.56835938	2512	35447	5.95664453506
26	3374.21459961	9699.56835938	2512	35447	5.95664453506
27	3374.21459961	9699.56835938	2512	35447	5.95664453506
28	3374.21459961	9699.56835938	2512	35447	5.95664453506
29	3374.21459961	9699.56835938	2512	35447	5.95664453506
30	3374.21459961	9699.56835938	2512	35447	5.95664453506
31	3374.21459961	9699.56835938	2512	35447	5.95664453506
32	3374.21459961	9699.56835938	2512	35447	5.95664453506
33	3374.21459961	9699.56835938	2512	35447	5.95664453506
34	3374.21459961	9699.56835938	2512	35447	5.95664453506
35	3374.21459961	9699.56835938	2512	35447	5.95664453506
