###Index	Enc	Ang

1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
10	2	1.10153543949
10	2	1.10153543949
10	2	1.10153543949
10	2	1.10153543949
11	3	1.10153543949
11	3	1.10153543949
11	4	1.10153543949
12	4	1.10153543949
12	5	1.10153543949
14	6	1.32079851627
15	6	1.32079851627
16	7	1.54006147385
16	8	1.54006147385
16	9	1.54006147385
17	11	1.54006147385
18	12	1.54006147385
21	17	1.76454496384
21	19	1.76454496384
22	22	1.98380792141
22	25	1.98380792141
24	30	1.98380792141
25	34	1.98380792141
27	38	2.20307087898
28	44	2.20307087898
31	50	2.20307087898
31	59	2.20307087898
35	75	2.42755436897
37	85	2.42755436897
38	106	2.42755436897
40	118	2.42755436897
41	118	2.42755436897
42	133	2.42755436897
43	166	2.42755436897
46	201	2.42755436897
50	245	2.42755436897
51	273	2.42755436897
53	301	2.42755436897
60	388	2.42755436897
64	450	2.42755436897
67	514	2.42755436897
72	613	2.20307087898
75	700	2.20307087898
87	905	1.98380792141
88	954	1.98380792141
92	1101	1.76454496384
100	1240	1.76454496384
105	1331	1.76454496384
105	1386	1.76454496384
110	1439	1.54006147385
119	1676	1.54006147385
119	1724	1.54006147385
121	1724	1.54006147385
121	1779	1.54006147385
123	1828	1.76454496384
124	1877	1.76454496384
126	1924	1.76454496384
127	1972	1.76454496384
131	2066	1.54006147385
134	2161	1.54006147385
138	2256	0.882272481918
141	2302	0.0
142	2393	-0.438525944948
144	2434	-1.10153543949
145	2475	-1.32079851627
145	2524	-1.32079851627
145	2574	-1.32079851627
147	2609	-2.42755436897
147	2660	-2.42755436897
148	2699	-2.86608052254
148	2699	-2.86608052254
150	2779	-3.0853433609
152	2817	-3.52908992767
153	2905	-3.74835276604
156	2977	-4.19209957123
159	3083	-4.63062524796
161	3154	-4.85510873795
162	3186	-5.07437181473
165	3215	-5.73738098145
165	3251	-5.73738098145
165	3284	-5.73738098145
166	3314	-5.95664453506
167	3314	-6.17590761185
168	3378	-6.40039110184
169	3405	-6.61965417862
170	3440	-6.83891677856
172	3472	-7.28266334534
173	3501	-7.50192642212
175	3529	-7.72118902206
176	3558	-8.164935112
176	3585	-8.164935112
177	3612	-8.38419914246
178	3634	-8.82794570923
181	3687	-9.71021747589
188	3878	-11.9185085297
191	3919	-12.5815191269
192	3936	-12.8007822037
193	3976	-13.0200443268
193	4011	-13.0200443268
196	4043	-14.1268005371
197	4078	-14.3460636139
198	4093	-14.7845897675
199	4111	-15.2283363342
199	4137	-15.2283363342
199	4153	-15.2283363342
199	4153	-15.2283363342
200	4167	-15.4475984573
200	4181	-15.4475984573
202	4193	-15.6668624878
202	4206	-15.6668624878
202	4217	-15.6668624878
204	4229	-15.8913450241
204	4242	-15.8913450241
205	4253	-15.8913450241
205	4264	-15.8913450241
206	4277	-15.8913450241
207	4289	-16.1106090546
207	4300	-16.1106090546
207	4300	-16.1106090546
208	4325	-16.1106090546
209	4336	-16.1106090546
209	4348	-16.1106090546
210	4358	-16.1106090546
211	4368	-16.1106090546
211	4368	-16.1106090546
212	4387	-16.1106090546
212	4387	-16.1106090546
213	4397	-16.1106090546
214	4406	-16.1106090546
214	4418	-16.1106090546
214	4426	-16.1106090546
214	4436	-16.1106090546
215	4446	-16.1106090546
215	4446	-16.1106090546
215	4446	-16.1106090546
216	4456	-16.1106090546
217	4467	-16.1106090546
217	4476	-16.1106090546
217	4476	-16.1106090546
218	4485	-16.1106090546
218	4496	-16.1106090546
218	4496	-16.1106090546
218	4505	-16.1106090546
218	4514	-16.1106090546
220	4514	-16.1106090546
220	4524	-16.1106090546
221	4534	-16.1106090546
221	4544	-16.1106090546
221	4544	-16.1106090546
221	4555	-16.1106090546
221	4564	-16.1106090546
221	4574	-16.1106090546
222	4583	-16.329870224
222	4590	-16.329870224
223	4599	-16.5543556213
223	4609	-16.5543556213
223	4609	-16.5543556213
224	4620	-16.7736167908
224	4629	-16.7736167908
225	4639	-16.7736167908
225	4648	-16.7736167908
225	4658	-16.7736167908
227	4710	-17.2121448517
227	4721	-17.2121448517
227	4733	-17.2121448517
228	4745	-17.6558914185
228	4756	-17.6558914185
229	4768	-17.8751525879
231	4792	-18.0996379852
231	4815	-18.0996379852
233	4839	-18.5381641388
233	4850	-18.5381641388
233	4879	-18.5381641388
236	4919	-18.9819107056
237	4932	-19.201171875
237	4946	-19.201171875
237	4964	-19.201171875
237	4979	-19.201171875
239	4995	-19.4204349518
240	5008	-19.4204349518
241	5041	-19.6449184418
243	5071	-19.8641815186
244	5086	-19.8641815186
245	5102	-20.0834445953
246	5150	-20.0834445953
249	5182	-20.3027076721
250	5216	-20.5271911621
250	5230	-20.5271911621
251	5245	-20.7464561462
252	5278	-20.7464561462
253	5310	-20.7464561462
255	5339	-20.9657173157
255	5339	-20.9657173157
255	5354	-20.9657173157
256	5385	-20.9657173157
257	5416	-20.9657173157
259	5449	-20.9657173157
260	5482	-21.1902008057
261	5499	-21.1902008057
261	5530	-21.1902008057
261	5546	-21.1902008057
261	5560	-21.1902008057
261	5575	-21.1902008057
261	5589	-21.1902008057
261	5605	-21.1902008057
262	5619	-21.4094638824
264	5662	-21.4094638824
264	5731	-21.4094638824
267	5760	-21.4094638824
267	5775	-21.4094638824
267	5790	-21.4094638824
268	5803	-21.4094638824
268	5803	-21.4094638824
269	5818	-21.4094638824
271	5835	-21.4094638824
271	5850	-21.4094638824
271	5866	-21.4094638824
271	5881	-21.4094638824
272	5898	-21.4094638824
272	5913	-21.4094638824
273	5928	-21.4094638824
274	5945	-21.4094638824
275	5977	-21.4094638824
275	5991	-21.4094638824
276	6006	-21.6287269592
276	6022	-21.6287269592
276	6051	-21.6287269592
277	6065	-21.847990036
277	6079	-21.847990036
277	6079	-21.847990036
277	6110	-21.847990036
278	6138	-22.2917385101
278	6152	-22.2917385101
279	6165	-22.7302627563
279	6181	-22.7302627563
279	6194	-22.7302627563
279	6207	-22.7302627563
281	6221	-23.1740093231
281	6235	-23.1740093231
281	6235	-23.1740093231
282	6250	-23.6177558899
282	6265	-23.6177558899
283	6279	-23.8370170593
283	6293	-23.8370170593
283	6306	-23.8370170593
284	6319	-24.2755451202
285	6346	-24.5000267029
286	6371	-24.719291687
287	6384	-25.1630382538
287	6384	-25.1630382538
288	6412	-25.3822994232
288	6426	-25.3822994232
289	6437	-25.8208274841
289	6437	-25.8208274841
290	6468	-26.0453090668
290	6483	-26.0453090668
291	6497	-26.4838371277
292	6513	-26.7083187103
292	6527	-26.7083187103
293	6542	-26.9275817871
293	6570	-26.9275817871
294	6584	-27.5905914307
294	6584	-27.5905914307
295	6601	-27.5905914307
295	6616	-27.5905914307
295	6631	-27.5905914307
296	6643	-28.0291194916
297	6659	-28.2536010742
298	6690	-28.472864151
299	6704	-28.6921272278
300	6720	-28.9113903046
301	6749	-29.1358737946
301	6765	-29.1358737946
301	6796	-29.1358737946
302	6810	-29.3551368713
302	6810	-29.3551368713
303	6824	-29.5744018555
304	6854	-29.7936630249
304	6867	-29.7936630249
306	6881	-29.7936630249
306	6896	-29.7936630249
307	6910	-30.2374076843
308	6925	-30.2374076843
309	6937	-30.2374076843
309	6951	-30.2374076843
309	6965	-30.2374076843
309	6979	-30.2374076843
310	6992	-30.2374076843
311	7006	-30.2374076843
311	7022	-30.2374076843
311	7038	-30.2374076843
311	7052	-30.2374076843
313	7069	-30.2374076843
313	7098	-30.2374076843
314	7114	-30.4566726685
314	7114	-30.4566726685
