###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	0.0	0.0	0	0	1.76454496384
2	0.0	0.0	0	0	1.76454496384
3	0.0	0.0	0	0	1.76454496384
4	0.0	0.0	0	0	1.54006147385
5	0.0	0.0	0	0	1.54006147385
6	0.0	0.0	0	0	1.76454496384
7	0.0	0.0	0	0	1.76454496384
8	0.0	0.0	0	0	1.76454496384
9	0.0	0.0	0	0	1.76454496384
10	0.0	0.0	0	0	1.76454496384
11	0.0	0.0	0	0	1.76454496384
12	0.0	0.0	0	0	1.76454496384
13	0.0	0.0	0	0	1.54006147385
14	0.0	0.0	0	0	1.54006147385
15	0.0	0.0	0	0	1.76454496384
16	0.0	0.0	0	0	1.76454496384
17	0.224745944142	-0.00778682064265	0	1	1.98380792141
18	64.0328521729	-2.7095105648	0	285	2.64681744576
19	278.058685303	-13.7622709274	0	1238	2.20307087898
20	531.820068359	-21.2554626465	1	2367	0.0
21	780.045776367	-25.847328186	1	3471	0.219262972474
22	1048.95727539	-30.805316925	1	4667	0.0
23	1307.05725098	-36.4998931885	1	5854	0.0
24	1549.86962891	-41.8106460571	1	6895	0.438525944948
25	1755.47277832	-49.8663330078	1	7810	1.32079851627
26	1937.58630371	-59.6839027405	1	8621	1.54006147385
27	2131.59790039	-70.2045059204	2	9485	1.10153543949
28	2349.37890625	-82.6171035767	2	10455	1.10153543949
29	2595.53393555	-98.9063949585	2	11552	1.32079851627
30	2841.33862305	-116.990394592	3	12648	1.10153543949
31	3069.39233398	-134.216369629	3	13699	0.882272481918
32	3278.21508789	-149.244888306	3	14596	0.438525944948
33	3465.55200195	-162.531692505	3	15462	0.219262972474
34	3661.20288086	-175.735244751	3	16334	0.219262972474
35	3855.72021484	-189.03843689	3	17201	0.219262972474
36	4056.2590332	-202.781555176	3	18064	0.882272481918
37	4250.64160156	-222.783096313	4	18933	2.64681744576
38	4438.62841797	-251.57383728	5	19809	5.07437181473
39	4636.19238281	-291.949981689	6	20708	7.94567251205
40	4829.76318359	-350.111358643	8	21575	9.92948055267
41	5012.39501953	-417.013916016	11	22440	10.3732280731
42	5186.21630859	-492.609405518	13	23309	10.3732280731
43	5362.44091797	-571.58807373	15	24173	10.1487436295
44	5536.23242188	-658.962585449	18	25007	8.82794570923
45	5708.18261719	-751.737731934	20	25931	7.72118902206
46	5892.42822266	-849.292480469	21	26803	7.28266334534
47	6061.18212891	-949.935974121	23	27729	7.06340026855
48	6237.75830078	-1055.14782715	25	28623	6.83891677856
49	6402.62597656	-1162.54772949	27	29496	6.83891677856
50	6567.90722656	-1276.99401855	28	30360	6.61965417862
51	6724.390625	-1389.86755371	30	31218	6.17590761185
52	6877.63720703	-1505.23913574	31	32071	5.73738098145
53	7058.81542969	-1644.14440918	32	33107	2.64681744576
54	7250.00292969	-1775.04394531	33	34147	1.76454496384
55	7440.40185547	-1910.85546875	33	35186	1.98380792141
56	7594.22900391	-2027.83093262	34	36034	2.20307087898
57	7747.39453125	-2142.99633789	34	36888	1.98380792141
58	7887.44677734	-2244.28173828	35	37659	1.76454496384
59	7975.42089844	-2314.29638672	35	38151	1.98380792141
60	8011.42578125	-2338.84423828	35	38330	1.98380792141
61	8011.06933594	-2338.43261719	35	38327	2.42755436897
62	8011.42382812	-2338.70996094	35	38329	2.42755436897
63	8011.42382812	-2338.70996094	35	38329	2.42755436897
64	8011.42382812	-2338.70996094	35	38329	2.20307087898
65	8011.42382812	-2338.70996094	35	38329	2.20307087898
66	8011.42382812	-2338.70996094	35	38329	1.98380792141
67	8011.42382812	-2338.70996094	35	38329	1.98380792141
68	8011.42382812	-2338.70996094	35	38329	1.98380792141
69	8011.42382812	-2338.70996094	35	38329	1.98380792141
70	8011.42382812	-2338.70996094	35	38329	1.98380792141
71	8011.42382812	-2338.70996094	35	38329	1.98380792141
72	8011.42382812	-2338.70996094	35	38329	1.98380792141
73	8011.42382812	-2338.70996094	35	38329	1.98380792141
74	8011.42382812	-2338.70996094	35	38329	1.98380792141
75	8011.42382812	-2338.70996094	35	38329	1.98380792141
76	8011.42382812	-2338.70996094	35	38329	1.98380792141
77	8011.42382812	-2338.70996094	35	38329	1.98380792141
78	8011.42382812	-2338.70996094	35	38329	1.98380792141
79	8011.42382812	-2338.70996094	35	38329	1.98380792141
80	8011.42382812	-2338.70996094	35	38329	1.98380792141
81	8011.42382812	-2338.70996094	35	38329	1.98380792141
82	8011.42382812	-2338.70996094	35	38329	1.98380792141
83	8011.42382812	-2338.70996094	35	38329	1.98380792141
84	8011.42382812	-2338.70996094	35	38329	1.98380792141
85	8011.42382812	-2338.70996094	35	38329	1.98380792141
86	8011.42382812	-2338.70996094	35	38329	1.98380792141
87	8011.42382812	-2338.70996094	35	38329	1.98380792141
88	8011.42382812	-2338.70996094	35	38329	1.98380792141
89	8011.42382812	-2338.70996094	35	38329	1.98380792141
90	8011.42382812	-2338.70996094	35	38329	1.98380792141
91	8011.42382812	-2338.70996094	35	38329	1.98380792141
92	8011.42382812	-2338.70996094	35	38329	1.98380792141
93	8011.42382812	-2338.70996094	35	38329	1.98380792141
