###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	0.0	0.0	0	0	5.95664453506
2	0.0	0.0	0	0	5.95664453506
3	0.0	0.0	0	0	5.73738098145
4	0.0	0.0	0	0	5.73738098145
5	0.0	0.0	0	0	5.95664453506
6	0.0	0.0	0	0	5.95664453506
7	1.12426793575	-0.0155460378155	0	6	0.219262972474
8	59.5932235718	-0.0405287817121	0	291	0.0
9	285.823303223	-0.0508606359363	0	1271	0.0
10	572.771179199	-0.0639654397964	0	2547	0.0
11	794.503601074	-0.0740918815136	0	3533	0.0
12	938.202453613	-0.0806545615196	0	4189	0.0
13	1022.30780029	-0.0844956189394	0	4558	0.0
14	1089.54626465	-0.0876793712378	0	4856	0.0
15	1168.92883301	-0.0913561210036	0	5214	0.0
16	1261.57958984	-0.0955874696374	0	5626	0.0
17	1361.42675781	-0.100157752633	0	6071	0.0
18	1461.0489502	-0.104532875121	0	6509	0.0
19	1528.51281738	-0.107613906264	0	6797	0.0
20	1589.90478516	-0.110417626798	0	7083	0.0
21	1679.63232422	-0.114515453577	0	7506	0.0
22	1805.34020996	-0.120482429862	0	8050	0.0
23	1950.83752441	-0.126901298761	0	8698	0.0
24	2068.90039062	-0.132293149829	0	9214	0.0
25	2140.63623047	-0.135569304228	0	9528	0.0
26	2201.35327148	-0.138475701213	0	9802	0.0
27	2294.23046875	-0.14288161695	0	10247	0.0
28	2395.42871094	-0.147205397487	0	10652	0.0
29	2500.67333984	-0.152011916041	0	11120	0.0
30	2594.67480469	-0.156458929181	0	11553	0.0
31	2674.05664062	-0.159930258989	0	11891	0.0
32	2745.11743164	-0.163175582886	0	12207	0.0
33	2830.57397461	-0.167221993208	0	12601	0.0
34	2935.14477539	-0.171853885055	0	13052	0.0
35	3042.18823242	-0.17674253881	0	13528	0.0
36	3119.09619141	-0.180357694626	0	13880	0.0
37	3183.63574219	-0.183202460408	0	14168	0.0
38	3260.76953125	-0.186725094914	0	14518	0.0
39	3359.04370117	-0.19121325016	0	14953	0.0
40	3454.16992188	-0.195557549596	0	15360	0.0
41	3541.875	-0.199562892318	0	15750	0.0
42	3639.24975586	-0.204009905457	0	16183	0.0
43	3744.71923828	-0.208826705813	0	16668	0.0
44	3838.94580078	-0.213273733854	0	17085	0.0
45	3923.50146484	-0.217145606875	0	17462	0.0
46	4024.69921875	-0.221613228321	0	17897	0.0
47	4126.11962891	-0.226419761777	0	18365	0.0
48	4224.61572266	-0.230743572116	0	18801	0.0
49	4309.84472656	-0.234635964036	0	19165	0.0
50	4404.96826172	-0.238980293274	0	19588	0.0
51	4501.66650391	-0.243396535516	0	20018	0.0
52	4589.36914062	-0.247545674443	0	20422	0.0
53	4673.69921875	-0.251407325268	0	20798	0.0
54	4774.66943359	-0.256039172411	0	21249	0.0
55	4874.96289062	-0.260444968939	0	21693	0.0
56	4962.21728516	-0.264430016279	0	22066	0.0
57	5043.84814453	-0.268158137798	0	22429	0.0
58	5142.79394531	-0.272677004337	0	22869	0.0
59	5236.11816406	-0.276939183474	0	23284	0.0
60	5313.70214844	-0.280616015196	0	23642	0.0
61	5391.9609375	-0.284231126308	0	23994	0.0
62	5491.35595703	-0.288595944643	0	24419	0.0
63	5583.55517578	-0.292806744576	0	24829	0.0
64	5682.05175781	-0.297305107117	0	25282	0.0
65	5772.90136719	-0.301454275846	0	25688	0.0
66	5866.44970703	-0.305726677179	0	26102	0.0
67	5956.40039062	-0.309999138117	0	26503	0.0
68	6057.37060547	-0.314446121454	0	26951	0.0
69	6142.37402344	-0.318328261375	0	27314	0.0
70	6214.56298828	-0.321624964476	0	27635	0.0
71	6292.37255859	-0.325178563595	0	27981	0.0
72	6387.49560547	-0.329522877932	0	28404	0.0
73	6482.16943359	-0.333846688271	0	28825	0.0
74	6586.28759766	-0.338601738214	0	29288	0.0
75	6677.36376953	-0.342761278152	0	29693	0.0
76	6757.87158203	-0.34643805027	0	30051	0.0
77	6848.49804688	-0.350577056408	0	30471	0.0
78	6945.87060547	-0.35502409935	0	30902	0.0
79	7030.64941406	-0.358896046877	0	31264	0.0
80	7104.41113281	-0.362387984991	0	31604	0.0
81	7193.91259766	-0.366352319717	0	32005	0.0
82	7287.01171875	-0.370748013258	0	32418	0.0
83	7390.00634766	-0.3753079772	0	32880	0.0
84	7484.00585938	-0.379600912333	0	33292	0.0
85	7554.62109375	-0.382825642824	0	33594	0.0
86	7619.61328125	-0.385793805122	0	33883	0.0
87	7712.26318359	-0.390025109053	0	34295	0.0
88	7810.31005859	-0.394656956196	0	34763	0.0
89	7909.48046875	-0.399175852537	0	35186	0.0
90	7995.38476562	-0.403109461069	0	35629	0.0
91	8107.59863281	-0.408080250025	0	36069	0.0
92	8198.89941406	-0.412250041962	0	36459	0.0
93	8272.66015625	-0.415618687868	0	36787	0.0
94	8349.79296875	-0.419141471386	0	37145	0.0
95	8419.28125	-0.422314971685	0	37439	0.0
96	8419.28125	-0.422314971685	0	37439	0.0
97	8419.28125	-0.422314971685	0	37439	0.0
98	8419.28125	-0.422314971685	0	37439	0.0
99	8419.28125	-0.422314971685	0	37439	0.0
