###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	0.0	0.0	0	0	1.76454496384
2	0.0	0.0	0	0	1.76454496384
3	0.0	0.0	0	0	1.76454496384
4	0.0	0.0	0	0	1.76454496384
5	0.0	0.0	0	0	1.76454496384
6	0.0	0.0	0	0	1.76454496384
7	0.0	0.0	0	0	1.76454496384
8	0.0	0.0	0	0	1.76454496384
9	0.0	0.0	0	0	1.76454496384
10	0.0	0.0	0	0	1.76454496384
11	0.0	0.0	0	0	1.76454496384
12	0.0	0.0	0	0	1.76454496384
13	0.0	0.0	0	0	1.76454496384
14	0.0	0.0	0	0	1.54006147385
15	1.12410473824	-0.0259388443083	0	5	1.32079851627
16	13.7140216827	-0.318906754255	0	61	1.54006147385
17	54.3955001831	-1.64931178093	0	250	1.98380792141
18	119.792686462	-4.02281236649	0	546	1.76454496384
19	211.031494141	-7.40731716156	0	939	1.76454496384
20	329.01651001	-11.8125734329	0	1526	1.10153543949
21	489.045501709	-16.9205970764	0	2176	1.10153543949
22	665.695007324	-23.0588531494	1	2962	0.882272481918
23	859.235839844	-28.7296733856	1	3856	0.0
24	1082.05187988	-32.9724617004	1	4852	0.438525944948
25	1318.16955566	-42.9931182861	1	5901	1.76454496384
26	1533.87414551	-56.2202301025	1	6858	1.76454496384
27	1718.1151123	-68.1486968994	2	7675	1.54006147385
28	1898.92163086	-80.8752975464	2	8482	1.54006147385
29	2097.35961914	-96.0740966797	3	9338	1.54006147385
30	2322.89379883	-113.809265137	3	10344	1.10153543949
31	2572.14111328	-134.042800903	3	11456	1.10153543949
32	2831.56933594	-156.648544312	4	12614	1.10153543949
33	3091.68847656	-181.580047607	4	13776	1.10153543949
34	3353.61499023	-206.506408691	4	14946	0.657788932323
35	3613.73828125	-231.397109985	4	16108	0.657788932323
36	3865.0012207	-257.790924072	5	17273	1.10153543949
37	4124.75146484	-288.471832275	5	18437	1.76454496384
38	4382.86572266	-321.734741211	6	19592	1.76454496384
39	4639.38574219	-357.938812256	6	20744	1.54006147385
40	4907.44042969	-397.65725708	7	21909	1.54006147385
41	5156.70849609	-438.292175293	7	23074	1.54006147385
42	5412.74462891	-479.087158203	8	24226	1.54006147385
43	5672.39990234	-524.282592773	8	25400	1.54006147385
44	5930.33496094	-571.443603516	9	26564	1.54006147385
45	6186.75585938	-622.351257324	9	27725	1.54006147385
46	6451.42773438	-674.3515625	10	28926	1.76454496384
47	6704.22998047	-732.102661133	10	30079	2.42755436897
48	6951.30126953	-789.309204102	11	31206	2.42755436897
49	7142.94970703	-837.72479248	12	32045	2.42755436897
50	7260.22509766	-868.360168457	12	32584	2.42755436897
51	7313.90527344	-882.638427734	12	32831	2.42755436897
52	7319.5546875	-884.150146484	12	32857	2.42755436897
53	7319.77197266	-884.208312988	12	32858	2.20307087898
54	7319.98925781	-884.265625	12	32859	2.20307087898
55	7319.98925781	-884.265625	12	32859	2.20307087898
56	7327.38232422	-886.330566406	12	32895	2.20307087898
57	7361.72998047	-895.313598633	12	33059	2.20307087898
58	7423.38574219	-916.421569824	12	33423	2.42755436897
59	7529.67724609	-941.028564453	13	33841	2.20307087898
60	7649.49316406	-974.334472656	13	34378	2.20307087898
61	7777.76025391	-1010.81689453	13	34971	2.20307087898
62	7863.72216797	-1035.74377441	14	35379	2.20307087898
63	7899.11621094	-1046.1171875	14	35535	2.20307087898
64	7900.41113281	-1046.49768066	14	35539	2.20307087898
65	7900.1953125	-1046.4342041	14	35538	2.42755436897
66	7899.76367188	-1046.30725098	14	35536	2.20307087898
67	7899.76367188	-1046.30725098	14	35536	1.98380792141
68	7899.76367188	-1046.30725098	14	35536	1.98380792141
69	7899.76367188	-1046.30725098	14	35536	1.76454496384
70	7899.76367188	-1046.30725098	14	35536	1.76454496384
71	7899.76367188	-1046.30725098	14	35536	1.76454496384
72	7899.76367188	-1046.30725098	14	35536	1.76454496384
73	7899.76367188	-1046.30725098	14	35536	1.76454496384
74	7899.76367188	-1046.30725098	14	35536	1.76454496384
75	7899.76367188	-1046.30725098	14	35536	1.76454496384
76	7899.76367188	-1046.30725098	14	35536	1.76454496384
77	7899.76367188	-1046.30725098	14	35536	1.76454496384
78	7899.76367188	-1046.30725098	14	35536	1.76454496384
79	7899.76367188	-1046.30725098	14	35536	1.76454496384
80	7899.76367188	-1046.30725098	14	35536	1.76454496384
81	7899.76367188	-1046.30725098	14	35536	1.76454496384
82	7899.76367188	-1046.30725098	14	35536	1.76454496384
83	7899.76367188	-1046.30725098	14	35536	1.76454496384
84	7899.76367188	-1046.30725098	14	35536	1.76454496384
