###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	0.0	0.0	0	0	5.95664453506
2	0.0	0.0	0	0	5.95664453506
3	0.0	0.0	0	0	5.95664453506
4	0.0	0.0	0	0	5.95664453506
5	0.0	0.0	0	0	5.95664453506
6	0.0	0.0	0	0	5.95664453506
7	0.0	0.0	0	0	5.95664453506
8	0.0	0.0	0	0	5.95664453506
9	0.0	0.0	0	0	5.73738098145
10	0.0	0.0	0	0	5.73738098145
11	0.0	0.0	0	0	2.42755436897
12	0.0	0.0	0	0	-1.76454496384
13	0.0	0.0	0	0	-1.76454496384
14	0.0	0.0	0	0	-1.76454496384
15	0.0	0.0	0	0	-1.76454496384
16	0.0	0.0	0	0	-1.54006147385
17	4.49742650986	0.0397565066814	0	20	0.0
18	66.5645294189	0.0427198186517	0	296	0.0
19	164.162796021	0.0473795384169	0	730	0.0
20	304.038726807	0.0540577247739	0	1352	0.0
21	412.656219482	0.0592435337603	0	1835	0.0
22	483.493865967	0.0626255720854	0	2150	0.0
23	551.407775879	0.0658681318164	0	2452	0.0
24	643.159240723	0.0702487379313	0	2860	0.0
25	746.379577637	0.0751768946648	0	3337	0.0
26	860.843688965	0.0806418731809	0	3828	0.0
27	938.42755127	0.0843460932374	0	4173	0.0
28	999.144897461	0.0872450694442	0	4453	0.0
29	1078.75256348	0.0910459160805	0	4812	0.0
30	1181.07385254	0.0961136519909	0	5269	0.0
31	1274.39916992	0.100537210703	0	5710	0.0
32	1359.40429688	0.104445435107	0	6058	0.0
33	1447.55737305	0.108654260635	0	6455	0.0
34	1543.80639648	0.113399907947	0	6879	0.0
35	1644.1036377	0.118038184941	0	7311	0.0
36	1736.07958984	0.122429527342	0	7720	0.0
37	1812.08947754	0.12605856359	0	8070	0.0
38	1880.6776123	0.129333242774	0	8376	0.0
39	1966.35693359	0.133423894644	0	8760	0.0
40	2059.0078125	0.137847319245	0	9156	0.0
41	2165.15185547	0.143097490072	0	9661	0.0
42	2255.77880859	0.147241801023	0	10031	0.0
43	2317.61987305	0.150312483311	0	10317	0.0
44	2391.38012695	0.153715953231	0	10634	0.0
45	2489.65380859	0.158590301871	0	11088	0.0
46	2579.60693359	0.162702396512	0	11471	0.0
47	2639.64941406	0.165569111705	0	11738	0.0
48	2706.66333008	0.168768629432	0	12036	0.0
49	2818.87841797	0.174330219626	0	12554	0.0
50	2941.43701172	0.180192545056	0	13100	0.0
51	3056.12548828	0.185636043549	0	13607	0.0
52	3132.80908203	0.189222052693	0	13941	0.0
53	3195.32519531	0.192099496722	0	14209	0.0
54	3272.68383789	0.195792853832	0	14568	0.0
55	3367.81005859	0.200334385037	0	14976	0.0
56	3464.51025391	0.2049510777	0	15406	0.0
57	3569.30517578	0.209954306483	0	15872	0.0
58	3658.80957031	0.214388519526	0	16285	0.0
59	3742.015625	0.218339592218	0	16653	0.0
60	3836.91625977	0.222902595997	0	17078	0.0
61	3941.26147461	0.227905809879	0	17544	0.0
