route	record	Ang:	1.76454496384		
Encoder-Raw	Tiller-Angle	Encoder-Raw	Tiller-Angle	0	1.76454496384
0	1.76454496384	0	5.95664453506	0	1.76454496384
0	1.76454496384	0	5.95664453506	0	1.76454496384
0	1.76454496384	0	5.95664453506	0	1.76454496384
0	1.76454496384	0	5.95664453506	0	1.76454496384
0	1.76454496384	0	5.95664453506	0	1.76454496384
0	1.54006147385	0	5.95664453506	0	1.76454496384
0	1.54006147385	0	5.95664453506	0	1.76454496384
0	1.76454496384	0	5.95664453506	0	1.76454496384
0	1.76454496384	0	5.95664453506	0	1.76454496384
0	1.76454496384	0	5.95664453506	0	1.76454496384
0	1.76454496384	2	1.54006147385	0	1.76454496384
0	1.76454496384	206	1.54006147385	0	1.76454496384
0	1.76454496384	567	0.882272481918	0	1.76454496384
0	1.76454496384	1090	0.882272481918	0	1.76454496384
0	1.54006147385	1622	0.657788932323	0	1.76454496384
0	1.54006147385	2057	0.657788932323	0	1.76454496384
0	1.76454496384	2369	0.657788932323	0	1.76454496384
10	1.76454496384	2692	0.657788932323	0	1.76454496384
99	1.54006147385	3075	0.657788932323	0	1.76454496384
335	0.882272481918	3517	0.657788932323	0	1.76454496384
808	0.882272481918	3896	0.657788932323	0	1.76454496384
1564	0.882272481918	4218	0.657788932323	0	1.76454496384
2603	0.882272481918	4563	0.657788932323	0	1.76454496384
3949	0.882272481918	4937	0.657788932323	0	1.76454496384
5247	0.0	5354	0.657788932323	0	1.76454496384
6388	-1.32079851627	5835	0.219262972474	0	1.76454496384
7363	-1.76454496384	6227	0.0	0	1.76454496384
8342	-1.98380792141	6530	-0.882272481918	0	1.76454496384
9172	-1.98380792141	6896	-1.54006147385	1	1.76454496384
10139	-1.76454496384	7283	-1.54006147385	1	1.76454496384
11232	-1.76454496384	7726	-1.54006147385	1	1.76454496384
12396	-1.98380792141	8218	-1.76454496384	1	1.76454496384
13663	-1.76454496384	8672	-2.20307087898	2	1.76454496384
14960	-1.76454496384	9092	-2.20307087898	2	1.76454496384
16254	-1.76454496384	9529	-2.20307087898	2	1.76454496384
17561	-2.20307087898	9947	-2.20307087898	3	1.76454496384
18848	-2.20307087898	10335	-1.98380792141	5	1.76454496384
20138	-2.86608052254	10726	-1.98380792141	5	1.76454496384
21395	-1.54006147385	11173	-1.98380792141	7	1.76454496384
22728	-2.20307087898	11559	-1.98380792141	10	1.76454496384
24020	-2.86608052254	11926	-1.98380792141	13	1.76454496384
25303	-2.64681744576	12312	-1.98380792141	60	1.76454496384
26592	-2.86608052254	12737	-1.98380792141	60	1.76454496384
27892	-3.97283625603	13182	-2.20307087898	68	1.76454496384
29184	-4.85510873795	13636	-2.20307087898	76	1.76454496384
30505	-7.72118902206	13991	-1.98380792141	76	1.76454496384
31831	-9.92948055267	14288	-1.98380792141	86	1.76454496384
33136	-10.1487436295	14642	-1.98380792141	105	1.76454496384
34662	-13.2393083572	15056	-1.98380792141	126	1.54006147385
36200	-14.5653266907	15532	-1.98380792141	126	1.54006147385
37485	-14.1268005371	16002	-1.98380792141	138	1.54006147385
38826	-14.1268005371	16320	-1.98380792141	149	1.54006147385
40130	-14.1268005371	16599	-1.98380792141	149	1.54006147385
41431	-13.9023170471	17016	-1.98380792141	161	1.54006147385
42725	-13.4637908936	17440	-1.98380792141	172	1.54006147385
44021	-13.0200443268	17884	-2.20307087898	181	1.54006147385
45303	-13.0200443268	18313	-2.20307087898	193	1.54006147385
46599	-13.6830539703	18637	-2.20307087898	193	1.54006147385
47887	-13.6830539703	18933	-2.42755436897	206	1.54006147385
49305	-13.6830539703	19352	-2.42755436897	219	1.54006147385
50604	-13.6830539703	19812	-2.42755436897	230	1.54006147385
51938	-12.8007822037	20330	-2.42755436897	230	1.54006147385
53270	-11.4747619629	20724	-2.86608052254	242	1.54006147385
54569	-10.1487436295	21040	-2.86608052254	255	1.54006147385
55916	-9.26647090912	21350	-3.0853433609	255	1.54006147385
