###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	0.0	0.0	0	0	1.76454496384
2	0.0	0.0	0	0	1.76454496384
3	0.0	0.0	0	0	1.76454496384
4	0.0	0.0	0	0	1.76454496384
5	0.0	0.0	0	0	1.76454496384
6	0.0	0.0	0	0	1.54006147385
7	0.0	0.0	0	0	1.54006147385
8	0.0	0.0	0	0	1.76454496384
9	0.0	0.0	0	0	1.76454496384
10	0.0	0.0	0	0	1.76454496384
11	0.0	0.0	0	0	1.76454496384
12	0.0	0.0	0	0	1.76454496384
13	0.0	0.0	0	0	1.76454496384
14	0.0	0.0	0	0	1.76454496384
15	0.0	0.0	0	0	1.54006147385
16	0.0	0.0	0	0	1.54006147385
17	0.0	0.0	0	0	1.76454496384
18	2.24773836136	-0.0693508759141	0	10	1.76454496384
19	22.2526054382	-0.686216771603	0	99	1.54006147385
20	75.3122024536	-1.7985419035	0	335	0.882272481918
21	181.662658691	-3.76399827003	0	808	0.882272481918
22	351.634735107	-7.34465646744	0	1564	0.882272481918
23	585.213684082	-13.1451721191	0	2603	0.882272481918
24	877.204284668	-21.826915741	0	3949	0.882272481918
25	1170.29614258	-31.2024707794	1	5247	0.0
26	1427.77416992	-32.2195854187	0	6388	-1.32079851627
27	1655.32653809	-28.8717956543	0	7363	-1.76454496384
28	1869.11340332	-23.0443706512	0	8342	-1.98380792141
29	2061.90429688	-15.5049877167	0	9172	-1.98380792141
30	2271.50341797	-5.6550693512	0	10139	-1.76454496384
31	2524.60522461	7.06321620941	359	11232	-1.76454496384
32	2776.18432617	23.0717506409	358	12396	-1.98380792141
33	3059.21582031	43.9277687073	358	13663	-1.76454496384
34	3350.5559082	68.1258468628	357	14960	-1.76454496384
35	3650.34448242	96.3514099121	357	16254	-1.76454496384
36	3930.83422852	127.567871094	356	17561	-2.20307087898
37	4219.29003906	165.536972046	355	18848	-2.20307087898
38	4506.34521484	205.982894897	354	20138	-2.86608052254
39	4795.70996094	252.082015991	353	21395	-1.54006147385
40	5081.31103516	297.515899658	353	22728	-2.20307087898
41	5366.30078125	351.653320312	352	24020	-2.86608052254
42	5649.63525391	410.689727783	351	25303	-2.64681744576
43	5932.18457031	474.391693115	350	26592	-2.86608052254
44	6215.39501953	549.584838867	349	27892	-3.97283625603
45	6503.20556641	634.481628418	347	29184	-4.85510873795
46	6771.54345703	738.739868164	345	30505	-7.72118902206
47	7040.05761719	868.680236816	342	31831	-9.92948055267
48	7293.14941406	1018.07476807	338	33136	-10.1487436295
49	7571.66552734	1219.70581055	334	34662	-13.2393083572
50	7791.45166016	1429.57910156	328	36200	-14.5653266907
51	8014.078125	1680.98205566	323	37485	-14.1268005371
