###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	0.0	0.0	0	0	5.95664453506
2	0.0	0.0	0	0	5.95664453506
3	0.0	0.0	0	0	5.95664453506
4	0.0	0.0	0	0	5.95664453506
5	0.0	0.0	0	0	5.95664453506
6	0.0	0.0	0	0	5.95664453506
7	0.0	0.0	0	0	5.95664453506
8	0.0	0.0	0	0	5.95664453506
9	0.0	0.0	0	0	5.95664453506
10	0.0	0.0	0	0	5.95664453506
11	0.449548155069	-0.0138547988608	0	2	1.54006147385
12	43.3853874207	-1.20021152496	0	206	1.54006147385
13	127.461921692	-3.38658952713	0	567	0.882272481918
14	245.050308228	-5.77344322205	0	1090	0.882272481918
15	360.612701416	-8.31384086609	0	1622	0.657788932323
16	459.31539917	-10.2870588303	0	2057	0.657788932323
17	529.687072754	-11.719543457	0	2369	0.657788932323
18	602.305419922	-13.337310791	0	2692	0.657788932323
19	687.736877441	-15.334189415	0	3075	0.657788932323
20	786.654541016	-17.7729263306	0	3517	0.657788932323
21	875.902160645	-20.0892276764	0	3896	0.657788932323
22	948.287414551	-22.0486297607	0	4218	0.657788932323
23	1022.46868896	-24.2285442352	0	4563	0.657788932323
24	1109.91015625	-26.6859054565	1	4937	0.657788932323
25	1200.04553223	-29.4293956757	1	5354	0.657788932323
26	1304.35241699	-32.3126296997	1	5835	0.219262972474
27	1394.05725098	-34.291847229	1	6227	0.0
28	1465.55603027	-35.5733184814	1	6530	-0.882272481918
29	1550.33483887	-35.2929954529	1	6896	-1.54006147385
30	1633.76135254	-34.4033966064	0	7283	-1.54006147385
31	1732.4753418	-33.0834846497	0	7726	-1.54006147385
32	1840.17260742	-30.9936828613	0	8218	-1.76454496384
33	1946.05444336	-28.2939929962	0	8672	-2.20307087898
34	2033.02600098	-24.8662109375	0	9092	-2.20307087898
35	2139.08154297	-20.8055171967	0	9529	-2.20307087898
36	2236.12890625	-16.3871631622	0	9947	-2.20307087898
37	2320.58105469	-12.0806436539	0	10335	-1.98380792141
38	2407.50317383	-7.89400291443	0	10726	-1.98380792141
39	2508.32983398	-2.49057841301	359	11173	-1.98380792141
40	2595.21533203	2.68003940582	359	11559	-1.98380792141
41	2677.14404297	7.72015714645	359	11926	-1.98380792141
42	2763.09423828	13.3272104263	359	12312	-1.98380792141
43	2862.48339844	19.8643398285	358	12737	-1.98380792141
44	2957.77929688	27.5080871582	358	13182	-2.20307087898
45	3060.2121582	35.7962150574	358	13636	-2.20307087898
46	3143.57714844	42.4407730103	358	13991	-1.98380792141
47	3210.12792969	48.0884780884	358	14288	-1.98380792141
48	3289.42919922	55.0630264282	357	14642	-1.98380792141
49	3378.11132812	63.554599762	357	15056	-1.98380792141
50	3488.69726562	73.7642211914	357	15532	-1.98380792141
51	3593.86376953	84.3113632202	357	16002	-1.98380792141
52	3662.53222656	91.7085189819	356	16320	-1.98380792141
53	3727.37890625	98.3728561401	356	16599	-1.98380792141
