###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	0.0	0.0	0	0	5.73738098145
2	0.0	0.0	0	0	5.73738098145
3	0.0	0.0	0	0	5.95664453506
4	0.0	0.0	0	0	5.95664453506
5	0.0	0.0	0	0	5.95664453506
6	0.0	0.0	0	0	5.95664453506
7	0.0	0.0	0	0	1.32079851627
8	0.0	0.0	0	0	-1.98380792141
9	0.0	0.0	0	0	-1.98380792141
10	0.0	0.0	0	0	-1.98380792141
11	0.0	0.0	0	0	-1.10153543949
12	3.37312912941	-0.0224214680493	0	15	0.438525944948
13	98.9153594971	-2.37729787827	0	440	1.98380792141
14	344.214691162	-13.8636102676	0	1532	2.20307087898
15	564.368652344	-23.891160965	1	2512	0.882272481918
16	705.538269043	-27.8252220154	1	3140	0.0
17	778.391418457	-28.9252586365	1	3475	-0.438525944948
18	840.005249023	-29.5872535706	1	3738	-0.657788932323
19	902.744628906	-30.1508293152	1	4017	-0.657788932323
20	998.54095459	-30.9054718018	1	4460	-0.657788932323
21	1095.01379395	-31.2501468658	0	4885	-0.882272481918
22	1170.5736084	-31.3203392029	0	5218	-0.882272481918
23	1243.20983887	-31.2880401611	0	5531	-0.882272481918
24	1334.73583984	-31.1074867249	0	5950	-0.882272481918
25	1432.33312988	-30.722454071	0	6428	-0.882272481918
26	1546.34301758	-29.6988830566	0	6879	-1.10153543949
27	1625.49304199	-28.6128234863	0	7231	-1.98380792141
28	1691.79064941	-26.2584323883	0	7537	-2.42755436897
29	1771.32189941	-22.6022186279	0	7896	-2.64681744576
30	1869.91943359	-17.8108158112	0	8319	-2.64681744576
31	1968.66296387	-11.5046415329	0	8759	-3.52908992767
32	2072.45947266	-3.31191110611	359	9222	-3.52908992767
33	2162.65844727	5.30345249176	359	9638	-7.72118902206
34	2235.57324219	19.0796871185	358	9967	-9.04720878601
35	2308.13745117	37.8280296326	357	10350	-9.26647090912
36	2409.14526367	60.6609611511	356	10749	-12.1377725601
37	2509.65820312	92.5959854126	354	11218	-12.3570356369
38	2599.21240234	123.984909058	353	11653	-12.5815191269
39	2670.51611328	150.952056885	352	11979	-12.8007822037
40	2733.54321289	176.840011597	351	12282	-13.2393083572
41	2814.98950195	212.844406128	349	12678	-13.4637908936
42	2899.77416992	254.406723022	348	13115	-15.8913450241
43	2995.75585938	310.761413574	346	13593	-16.7736167908
44	3073.15185547	360.445648193	344	14014	-17.6558914185
45	3088.87011719	371.322967529	343	14087	-18.3188991547
46	3088.87011719	371.322967529	343	14087	-18.3188991547
47	3088.87011719	371.322967529	343	14087	-18.3188991547
48	3088.87011719	371.322967529	343	14087	-18.3188991547
49	3088.87011719	371.322967529	343	14087	-18.3188991547
50	3088.87011719	371.322967529	343	14087	-18.3188991547
51	3088.87011719	371.322967529	343	14087	-18.3188991547
52	3088.87011719	371.322967529	343	14087	-18.3188991547
53	3088.87011719	371.322967529	343	14087	-18.3188991547
54	3088.87011719	371.322967529	343	14087	-18.3188991547
55	3088.87011719	371.322967529	343	14087	-18.3188991547
56	3088.87011719	371.322967529	343	14087	-18.3188991547
57	3088.87011719	371.322967529	343	14087	-18.3188991547
58	3088.87011719	371.322967529	343	14087	-18.3188991547
59	3088.87011719	371.322967529	343	14087	-18.3188991547
60	3088.87011719	371.322967529	343	14087	-18.3188991547
61	3088.87011719	371.322967529	343	14087	-18.3188991547
62	3088.87011719	371.322967529	343	14087	-18.3188991547
63	3088.87011719	371.322967529	343	14087	-18.3188991547
64	3088.87011719	371.322967529	343	14087	-18.3188991547
65	3088.87011719	371.322967529	343	14087	-18.3188991547
66	3088.87011719	371.322967529	343	14087	-18.3188991547
67	3088.87011719	371.322967529	343	14087	-18.3188991547
68	3088.87011719	371.322967529	343	14087	-18.3188991547
69	3088.87011719	371.322967529	343	14087	-18.3188991547
70	3088.87011719	371.322967529	343	14087	-18.3188991547
71	3088.87011719	371.322967529	343	14087	-18.3188991547
72	3088.87011719	371.322967529	343	14087	-18.3188991547
73	3088.87011719	371.322967529	343	14087	-18.3188991547
74	3088.87011719	371.322967529	343	14087	-18.3188991547
75	3088.87011719	371.322967529	343	14087	-18.3188991547
76	3088.87011719	371.322967529	343	14087	-18.3188991547
77	3088.87011719	371.322967529	343	14087	-18.3188991547
78	3088.87011719	371.322967529	343	14087	-18.3188991547
79	3088.87011719	371.322967529	343	14087	-18.3188991547
80	3088.87011719	371.322967529	343	14087	-18.3188991547
81	3088.87011719	371.322967529	343	14087	-18.3188991547
82	3088.87011719	371.322967529	343	14087	-18.3188991547
83	3088.87011719	371.322967529	343	14087	-18.3188991547
84	3088.87011719	371.322967529	343	14087	-18.3188991547
85	3088.87011719	371.322967529	343	14087	-18.3188991547
86	3088.87011719	371.322967529	343	14087	-18.3188991547
87	3088.87011719	371.322967529	343	14087	-18.0996379852
88	3088.87011719	371.322967529	343	14087	-18.0996379852
89	3088.87011719	371.322967529	343	14087	-18.0996379852
90	3088.87011719	371.322967529	343	14087	-18.0996379852
