###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	0.0	0.0	0	0	1.54006147385
2	0.0	0.0	0	0	1.54006147385
3	0.0	0.0	0	0	1.76454496384
4	0.0	0.0	0	0	1.76454496384
5	0.0	0.0	0	0	1.76454496384
6	0.0	0.0	0	0	1.76454496384
7	2.47251176834	-0.0762960910797	0	12	1.76454496384
8	27.8696613312	-0.925544202328	0	124	2.42755436897
9	109.64906311	-4.47699451447	0	488	1.98380792141
10	264.065002441	-9.30947780609	0	1206	0.882272481918
11	495.892120361	-10.0608901978	0	2248	-1.76454496384
12	815.823852539	-3.60330653191	0	3683	-0.438525944948
13	1194.72619629	-0.0349479652941	0	5379	-0.882272481918
14	1629.76293945	9.33656215668	0	7314	-0.657788932323
15	2027.45483398	19.1612663269	0	9075	0.0
16	2375.74633789	25.0973243713	0	10621	0.0
17	2720.87207031	31.4613571167	359	12156	-0.438525944948
18	3083.62817383	43.9343681335	359	13833	-0.882272481918
19	3491.14941406	61.6400871277	359	15595	-1.54006147385
20	3894.45825195	88.0763168335	358	17393	-1.32079851627
21	4341.36425781	120.847465515	357	19391	-1.54006147385
22	4813.44482422	163.952346802	356	21501	-1.10153543949
23	5288.14892578	208.024215698	356	23548	-1.10153543949
24	5661.55273438	244.616317749	356	25270	0.0
25	6003.90527344	273.033508301	356	26744	0.0
26	6321.60986328	301.315734863	356	28314	-0.438525944948
27	6710.26025391	343.533905029	355	29956	-1.76454496384
28	7064.51513672	393.935302734	354	31552	-1.76454496384
29	7447.07128906	451.493041992	353	33280	-1.76454496384
30	7852.07910156	514.012878418	353	35095	-1.76454496384
31	8208.74414062	581.232788086	352	36702	-2.42755436897
32	8533.17871094	649.173095703	351	38170	-2.42755436897
33	8825.35253906	707.505554199	350	39491	0.0
34	9088.33398438	756.281860352	350	40679	0.0
35	9362.39453125	804.795410156	350	41875	-0.438525944948
36	9651.51660156	862.403625488	350	43186	-1.76454496384
37	9965.47363281	933.026184082	349	44669	-1.54006147385
38	10302.9570312	1007.67767334	349	46211	-0.882272481918
39	10678.4335938	1092.75439453	348	47866	-0.882272481918
40	11057.2255859	1178.42163086	348	49593	0.438525944948
41	11394.1621094	1248.1060791	348	51123	0.219262972474
42	11721.5	1316.45178223	349	52610	0.438525944948
43	12063.7939453	1375.22692871	349	54207	5.07437181473
44	12392.0664062	1378.62927246	353	55618	13.6830539703
45	12723.6259766	1321.37145996	359	57115	14.5653266907
46	13053.5751953	1228.49157715	4	58640	15.2283363342
47	13307.7441406	1113.1730957	9	59883	19.8641815186
48	13543.5839844	958.79473877	16	61183	18.9819107056
49	13782.2714844	765.001220703	23	62556	18.9819107056
50	13992.8740234	550.91003418	30	63841	18.3188991547
51	14154.6660156	349.010375977	35	64992	18.5381641388
52	14313.1318359	71.1612930298	44	67801	17.2121448517
53	14611.1630859	-806.362365723	62	71078	13.9023170471
54	14724.2685547	-1312.57141113	71	74247	3.0853433609
55	14989.8867188	-2257.16162109	72	77354	-2.20307087898
56	15089.4628906	-2543.65600586	72	78653	-1.54006147385
57	15186.8115234	-2836.42578125	72	80109	0.0
58	15288.7626953	-3135.9206543	72	81474	0.219262972474
59	15370.3300781	-3398.74243164	72	82786	1.10153543949
60	15447.0146484	-3689.41137695	72	84113	1.54006147385
61	15565.4550781	-4089.42456055	73	85947	0.219262972474
62	15662.0791016	-4420.54394531	73	87503	0.0
63	15740.7685547	-4697.25439453	73	88712	0.438525944948
64	15786.4003906	-4837.82421875	73	89273	1.54006147385
65	15821.2685547	-4981.38330078	73	90029	1.54006147385
66	15881.6865234	-5209.92285156	74	91101	-1.32079851627
67	15951.1660156	-5415.85449219	73	91987	-1.76454496384
68	15985.8300781	-5523.15576172	73	92482	-1.32079851627
69	15996.21875	-5549.26318359	73	92570	0.657788932323
70	15996.0878906	-5549.04785156	73	92570	4.19209957123
71	15995.9472656	-5548.38769531	73	92567	2.20307087898
72	15995.9472656	-5548.38769531	73	92567	2.20307087898
73	15995.9472656	-5548.38769531	73	92567	2.20307087898
74	15995.9472656	-5548.38769531	73	92567	2.20307087898
75	15995.9472656	-5548.38769531	73	92567	2.20307087898
76	15995.9472656	-5548.38769531	73	92567	2.20307087898
77	15995.9472656	-5548.38769531	73	92567	2.20307087898
78	15995.9472656	-5548.38769531	73	92567	2.20307087898
