###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	0.0	0.0	0	0	5.95664453506
2	0.0	0.0	0	0	5.95664453506
3	0.0	0.0	0	0	5.95664453506
4	0.0	0.0	0	0	5.95664453506
5	0.0	0.0	0	0	5.95664453506
6	0.0	0.0	0	0	5.95664453506
7	0.0	0.0	0	0	5.95664453506
8	0.0	0.0	0	0	5.95664453506
9	0.0	0.0	0	0	5.95664453506
10	0.0	0.0	0	0	5.95664453506
11	0.0	0.0	0	0	5.95664453506
12	0.449488520622	-0.0155758680776	0	2	1.76454496384
13	15.286980629	-0.385633558035	0	74	1.32079851627
14	116.657455444	-3.55148839951	0	519	1.98380792141
15	310.326477051	-11.8504972458	0	1412	1.98380792141
16	496.183685303	-18.6490764618	0	2237	0.882272481918
17	626.589416504	-19.0556869507	0	2788	-1.76454496384
18	704.834350586	-17.6068611145	0	3150	-1.98380792141
19	774.302124023	-15.8562107086	0	3456	-1.98380792141
20	860.177856445	-13.6547327042	0	3842	-1.32079851627
21	953.944702148	-12.4489030838	0	4260	-0.882272481918
22	1053.33520508	-11.358830452	0	4703	-0.657788932323
23	1167.34350586	-10.1733312607	0	5206	-0.657788932323
24	1259.08789062	-9.0893239975	0	5601	-0.657788932323
25	1348.57788086	-7.53656244278	0	6013	-0.882272481918
26	1446.37988281	-5.57643938065	0	6449	-1.10153543949
27	1540.12609863	-3.13377118111	0	6869	-1.10153543949
28	1646.0057373	-0.354014933109	0	7339	-1.10153543949
29	1739.5234375	2.10985994339	0	7753	-0.882272481918
30	1820.9005127	4.41846513748	0	8115	-0.882272481918
31	1908.34277344	6.84047317505	0	8489	-0.882272481918
32	1999.37731934	9.61138439178	0	8906	-0.882272481918
33	2091.31079102	12.3865013123	0	9303	0.0
34	2193.61816406	14.2227516174	0	9774	0.0
35	2285.35839844	15.7510108948	0	10166	0.0
36	2365.85595703	17.1467170715	0	10524	0.0
37	2453.54858398	18.7295570374	0	10944	0.0
38	2562.60253906	20.5580101013	0	11399	0.0
39	2657.49047852	22.2032279968	0	11821	0.0
40	2744.95849609	23.7197914124	0	12224	-0.438525944948
41	2830.16113281	25.88422966	359	12589	-0.438525944948
42	2910.41650391	27.9842090607	359	12959	-0.657788932323
43	3014.03686523	31.2063751221	359	13407	-0.657788932323
44	3112.48242188	34.4053764343	359	13845	-0.657788932323
45	3196.08325195	37.5261154175	359	14231	-0.882272481918
46	3287.76391602	41.0103492737	359	14625	-0.882272481918
47	3387.29077148	45.5403175354	359	15086	-1.10153543949
48	3474.8972168	49.4866256714	359	15458	-1.10153543949
49	3543.85107422	53.0122680664	359	15775	-1.32079851627
50	3617.93603516	57.2129592896	359	16095	-1.54006147385
51	3707.70874023	63.0796394348	358	16522	-1.76454496384
52	3822.12524414	70.791053772	358	17005	-1.76454496384
53	3949.96118164	80.2066345215	358	17599	-1.54006147385
54	4107.38964844	91.9636230469	358	18309	-1.54006147385
