###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	0.0	0.0	0	0	5.95664453506
2	0.0	0.0	0	0	5.95664453506
3	0.0	0.0	0	0	5.95664453506
4	0.0	0.0	0	0	5.95664453506
5	0.0	0.0	0	0	5.95664453506
6	0.0	0.0	0	0	5.95664453506
7	0.0	0.0	0	0	5.95664453506
8	0.0	0.0	0	0	5.95664453506
9	0.0	0.0	0	0	5.95664453506
10	0.0	0.0	0	0	5.95664453506
11	0.0	0.0	0	0	5.95664453506
12	0.0	0.0	0	0	5.95664453506
13	0.0	0.0	0	0	5.95664453506
14	0.0	0.0	0	0	2.42755436897
15	0.0	0.0	0	0	1.76454496384
16	0.0	0.0	0	0	1.76454496384
17	0.0	0.0	0	0	1.76454496384
18	0.0	0.0	0	0	1.76454496384
19	0.0	0.0	0	0	1.76454496384
20	0.0	0.0	0	0	1.98380792141
21	0.0	0.0	0	0	2.42755436897
22	0.0	0.0	0	0	2.42755436897
23	0.0	0.0	0	0	1.76454496384
24	0.0	0.0	0	0	1.54006147385
25	0.449599027634	-0.0120926611125	0	2	1.76454496384
26	1.12377333641	-0.0371899902821	0	5	2.42755436897
27	7.41544628143	-0.287589550018	0	33	2.20307087898
28	37.0765457153	-1.4601111412	0	173	2.20307087898
29	105.829864502	-4.33708000183	0	471	2.20307087898
30	199.758895874	-7.990858078	0	906	1.76454496384
31	324.504211426	-12.0756006241	0	1467	0.882272481918
32	480.524383545	-15.7278146744	0	2165	-0.438525944948
33	664.117736816	-9.43280601501	0	2986	-3.52908992767
34	887.563049316	5.52827835083	0	3951	-4.41136264801
35	1131.19433594	41.4283027649	358	5047	-11.036236763
36	1361.85412598	131.324996948	353	6180	-20.9657173157
37	1516.73571777	231.192260742	348	6975	-26.9275817871
38	1605.54296875	313.911071777	344	7534	-29.5744018555
39	1703.98962402	425.835113525	339	8178	-28.6921272278
40	1802.68737793	555.543273926	334	8903	-28.2536010742
41	1899.59570312	712.073547363	328	9722	-27.8098545074
42	1989.12512207	888.758728027	321	10633	-26.0453090668
43	2052.96459961	1039.97387695	316	11353	-24.719291687
44	2096.46264648	1142.34289551	314	11828	-14.5653266907
45	2163.984375	1237.17553711	313	12347	0.0
46	2263.29882812	1337.22924805	313	12974	3.52908992767
47	2392.03198242	1443.8013916	315	13718	11.4747619629
48	2553.37426758	1539.41186523	318	14573	16.5543556213
49	2700.64770508	1602.9498291	321	15265	18.3188991547
50	2839.65063477	1645.36694336	325	15930	24.719291687
51	2923.30664062	1656.4855957	327	16287	28.2536010742
52	2987.01586914	1660.94311523	329	16571	27.5905914307
53	3120.9453125	1665.79162598	334	17196	25.8208274841
54	3296.79467773	1665.41589355	339	17949	23.1740093231
55	3433.55151367	1658.52893066	342	18558	22.954744339
56	3580.69189453	1639.45996094	346	19243	24.0562820435
57	3756.71435547	1599.47314453	351	20021	24.5000267029
58	3938.62890625	1538.87939453	357	20905	24.719291687
59	4120.703125	1457.59448242	2	21761	24.5000267029
60	4288.86083984	1362.22045898	7	22621	24.5000267029
61	4446.85742188	1251.2064209	13	23511	24.5000267029
62	4593.41845703	1125.48339844	18	24370	24.5000267029
63	4726.88964844	986.561767578	24	25226	24.5000267029
64	4846.08642578	830.875366211	29	26079	24.2755451202
65	4950.984375	669.741943359	35	26995	24.2755451202
66	5051.53808594	480.592529297	41	27879	24.2755451202
67	5121.3828125	304.655487061	46	28721	23.8370170593
68	5166.92919922	158.324829102	51	29404	22.954744339
69	5186.91845703	87.2729110718	52	29731	23.1740093231
70	5190.15234375	73.9419250488	53	29792	23.1740093231
71	5190.04785156	74.3793106079	53	29790	22.954744339
72	5190.15527344	73.9425354004	53	29792	22.5109996796
73	5190.15527344	73.9425354004	53	29792	21.1902008057
74	5190.15527344	73.9425354004	53	29792	12.8007822037
75	5190.15527344	73.9425354004	53	29792	3.74835276604
76	5190.15527344	73.9425354004	53	29792	0.882272481918
77	5190.15527344	73.9425354004	53	29792	3.0853433609
78	5190.15527344	73.9425354004	53	29792	2.20307087898
79	5190.15527344	73.9425354004	53	29792	2.20307087898
80	5190.15527344	73.9425354004	53	29792	2.20307087898
81	5190.15527344	73.9425354004	53	29792	2.20307087898
82	5190.15527344	73.9425354004	53	29792	2.20307087898
83	5190.15527344	73.9425354004	53	29792	2.20307087898
84	5190.15527344	73.9425354004	53	29792	2.20307087898
85	5190.15527344	73.9425354004	53	29792	2.20307087898
86	5190.15527344	73.9425354004	53	29792	2.20307087898
87	5190.15527344	73.9425354004	53	29792	2.20307087898
88	5190.15527344	73.9425354004	53	29792	2.20307087898
89	5190.15527344	73.9425354004	53	29792	2.20307087898
90	5190.15527344	73.9425354004	53	29792	2.20307087898
91	5190.15527344	73.9425354004	53	29792	2.20307087898
92	5190.15527344	73.9425354004	53	29792	2.20307087898
