###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	123.288604736	-340.468200684	344	1761	5.95664453506
2	123.288604736	-340.468200684	344	1761	5.95664453506
3	123.288604736	-340.468200684	344	1761	5.95664453506
4	123.288604736	-340.468200684	344	1761	5.95664453506
5	123.288604736	-340.468200684	344	1761	5.95664453506
6	123.288604736	-340.468200684	344	1761	5.95664453506
7	123.288604736	-340.468200684	344	1761	5.95664453506
8	123.288604736	-340.468200684	344	1761	5.95664453506
9	123.288604736	-340.468200684	344	1761	5.95664453506
10	123.943344116	-340.30557251	344	1764	1.32079851627
11	163.245727539	-329.718383789	345	1945	0.882272481918
12	308.010528564	-289.624633789	345	2638	-0.438525944948
13	436.341156006	-251.004364014	344	3209	-3.0853433609
14	506.89251709	-225.901641846	344	3553	-3.74835276604
15	574.831298828	-200.846817017	344	3864	-3.74835276604
16	659.532958984	-168.620101929	343	4267	-4.41136264801
17	747.463623047	-133.52796936	343	4705	-4.41136264801
18	850.516662598	-90.3212432861	342	5185	-9.04720878601
19	932.805541992	-42.2632827759	341	5620	-11.2554998398
20	1007.36193848	1.33698892593	340	6007	-11.2554998398
21	1083.12902832	53.975353241	338	6424	-19.4204349518
22	1157.01330566	128.443389893	336	6879	-21.1902008057
23	1215.58300781	193.820785522	333	7262	-26.7083187103
24	1252.70410156	246.887802124	331	7571	-27.1468467712
25	1296.39086914	321.074401855	329	7933	-29.5744018555
26	1337.88195801	403.147644043	325	8342	-29.5744018555
27	1378.88366699	495.901092529	322	8812	-28.9113903046
28	1415.32141113	591.02166748	319	9246	-28.472864151
29	1437.9420166	662.101989746	316	9579	-28.472864151
30	1458.10473633	728.872070312	314	9888	-28.0291194916
31	1479.11755371	814.243286133	311	10279	-28.0291194916
32	1500.10168457	931.651733398	307	10831	-27.5905914307
33	1520.26245117	1076.95336914	302	11515	-25.6015644073
34	1540.97131348	1249.83325195	298	12237	-16.1106090546
35	1584.73986816	1391.16564941	296	12938	0.0
36	1630.15454102	1476.89538574	297	13331	3.0853433609
37	1662.7388916	1532.46008301	297	13615	3.30982708931
38	1702.62390137	1594.92504883	298	14031	10.811753273
39	1771.4230957	1680.7019043	299	14524	11.2554998398
40	1867.00366211	1784.61938477	301	15071	16.1106090546
41	1941.33154297	1859.1751709	303	15583	17.4366283417
42	2017.09204102	1909.79492188	305	15931	18.0996379852
43	2087.47949219	1953.56542969	307	16300	24.2755451202
44	2176.43188477	1994.65905762	310	16736	27.8098545074
45	2259.74389648	2026.72741699	313	17133	27.3661079407
46	2335.11621094	2053.03662109	316	17488	26.0453090668
47	2414.08325195	2078.5144043	318	17857	25.6015644073
48	2502.77514648	2105.39233398	321	18282	23.3932723999
49	2595.82080078	2129.97705078	324	18729	22.7302627563
50	2703.92016602	2154.53686523	326	19190	22.7302627563
51	2792.76147461	2170.36108398	329	19605	23.6177558899
52	2872.00976562	2179.77172852	331	19957	23.6177558899
53	2965.95922852	2186.55712891	334	20365	24.0562820435
54	3062.84643555	2188.85888672	336	20811	24.0562820435
55	3152.76367188	2186.70288086	339	21196	24.2755451202
56	3230.83911133	2181.17504883	341	21557	24.2755451202
57	3323.59277344	2171.18139648	344	21976	24.2755451202
58	3421.08154297	2155.68408203	347	22398	24.2755451202
59	3504.77270508	2138.44262695	349	22778	24.2755451202
60	3589.17700195	2117.25878906	352	23165	24.2755451202
61	3684.77929688	2087.29541016	354	23626	24.2755451202
62	3774.43359375	2056.72387695	357	24032	24.2755451202
63	3839.76245117	2030.53125	359	24345	24.2755451202
64	3898.62695312	2004.62353516	0	24667	24.2755451202
65	3985.27587891	1962.22814941	3	25060	24.2755451202
66	4066.70336914	1917.57495117	5	25473	24.2755451202
67	4154.30566406	1863.86071777	9	26011	23.1740093231
68	4247.53515625	1801.43762207	11	26444	23.8370170593
69	4314.52490234	1749.54309082	14	26814	23.8370170593
70	4383.53027344	1692.43286133	16	27215	23.8370170593
71	4460.5234375	1625.99462891	19	27657	23.8370170593
72	4523.80078125	1563.6640625	21	28064	23.8370170593
73	4572.15283203	1512.20812988	23	28366	23.8370170593
74	4623.0546875	1451.2052002	26	28741	23.8370170593
75	4682.234375	1377.68615723	28	29145	23.6177558899
76	4743.42773438	1296.96435547	31	29590	23.1740093231
77	4802.83642578	1221.70837402	33	30018	8.164935112
78	4833.35107422	1195.45800781	34	30197	6.17590761185
79	4833.35302734	1195.46044922	34	30197	6.40039110184
80	4833.52441406	1195.31469727	34	30198	6.40039110184
81	4833.52441406	1195.31469727	34	30198	6.40039110184
82	4833.52441406	1195.31469727	34	30198	6.40039110184
83	4833.52441406	1195.31469727	34	30198	6.40039110184
84	4833.52441406	1195.31469727	34	30198	6.40039110184
85	4833.52441406	1195.31469727	34	30198	6.40039110184
86	4833.52441406	1195.31469727	34	30198	6.40039110184
