###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	0.0	0.0	0	0	-3.52908992767
2	0.0	0.0	0	0	-3.52908992767
3	0.0	0.0	0	0	-3.52908992767
4	0.0	0.0	0	0	-3.52908992767
5	0.0	0.0	0	0	-3.52908992767
6	0.0	0.0	0	0	-3.52908992767
7	0.0	0.0	0	0	-3.52908992767
8	0.0	0.0	0	0	-3.52908992767
9	0.0	0.0	0	0	-3.52908992767
10	0.0	0.0	0	0	-3.52908992767
11	0.0	0.0	0	0	-3.52908992767
12	0.0	0.0	0	0	-3.52908992767
13	0.0	0.0	0	0	-3.52908992767
14	0.0	0.0	0	0	-3.52908992767
15	0.0	0.0	0	0	-3.52908992767
16	0.0	0.0	0	0	-3.52908992767
17	0.0	0.0	0	0	-3.52908992767
18	0.0	0.0	0	0	-3.52908992767
19	0.0	0.0138463480398	0	1	-3.52908992767
20	9.87575054169	0.612960219383	0	44	-3.52908992767
21	71.364112854	4.59684228897	0	318	-3.52908992767
22	189.349243164	13.0406007767	0	844	-3.52908992767
23	363.065002441	27.0382461548	359	1619	-0.657788932323
24	593.591186523	14.5044260025	0	2685	5.29363489151
25	889.36315918	-7.04404449463	0	3965	3.30982708931
26	1213.21887207	-30.7900371552	2	5409	1.76454496384
27	1492.0345459	-50.7006988525	2	6652	1.76454496384
28	1684.67346191	-65.0241394043	2	7511	0.882272481918
29	1827.65332031	-73.7974243164	3	8148	0.219262972474
30	1978.1517334	-80.9283676147	2	8818	-0.657788932323
31	2155.67211914	-87.86378479	2	9608	-0.882272481918
32	2341.99584961	-94.0378570557	2	10437	-0.438525944948
33	2528.16040039	-103.858001709	2	11266	0.657788932323
34	2712.67529297	-115.011062622	2	12088	0.657788932323
35	2897.37133789	-126.866188049	3	12911	0.882272481918
36	3075.93725586	-139.880111694	3	13737	0.882272481918
37	3268.36376953	-153.566329956	3	14565	0.882272481918
38	3434.88793945	-167.240081787	3	15308	1.32079851627
39	3539.24414062	-176.820632935	3	15774	1.54006147385
40	3588.27319336	-181.486465454	3	15993	1.54006147385
41	3592.07910156	-181.851821899	3	16010	1.54006147385
42	3591.85522461	-181.830322266	3	16009	2.20307087898
43	3591.85522461	-181.830322266	3	16009	2.20307087898
44	3591.85522461	-181.830322266	3	16009	1.98380792141
45	3591.85522461	-181.830322266	3	16009	1.98380792141
46	3591.85522461	-181.830322266	3	16009	1.98380792141
47	3591.85522461	-181.830322266	3	16009	1.98380792141
48	3591.85522461	-181.830322266	3	16009	1.98380792141
49	3591.85522461	-181.830322266	3	16009	1.98380792141
50	3591.85522461	-181.830322266	3	16009	1.98380792141
51	3591.85522461	-181.830322266	3	16009	1.98380792141
52	3591.85522461	-181.830322266	3	16009	1.98380792141
53	3591.85522461	-181.830322266	3	16009	1.98380792141
54	3591.85522461	-181.830322266	3	16009	1.98380792141
55	3591.85522461	-181.830322266	3	16009	1.98380792141
56	3591.85522461	-181.830322266	3	16009	1.98380792141
57	3591.85522461	-181.830322266	3	16009	1.98380792141
58	3591.85522461	-181.830322266	3	16009	1.98380792141
59	3591.85522461	-181.830322266	3	16009	1.98380792141
60	3591.85522461	-181.830322266	3	16009	1.98380792141
61	3591.85522461	-181.830322266	3	16009	1.98380792141
62	3591.85522461	-181.830322266	3	16009	1.98380792141
63	3591.85522461	-181.830322266	3	16009	1.98380792141
64	3591.85522461	-181.830322266	3	16009	1.98380792141
65	3591.85522461	-181.830322266	3	16009	1.98380792141
66	3591.85522461	-181.830322266	3	16009	1.98380792141
