###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	4145.01074219	843.320922852	353	18677	-1.98380792141
2	4408.76123047	891.170654297	352	19834	-1.98380792141
3	4737.00585938	955.009643555	351	21321	-1.98380792141
4	5136.39306641	1039.14599609	350	23205	-1.98380792141
5	5521.16455078	1126.9510498	349	24891	-1.98380792141
6	5812.20507812	1200.03369141	348	26264	-1.98380792141
7	6022.71435547	1251.43127441	348	27189	-1.98380792141
8	6146.69873047	1283.9654541	348	27759	-1.98380792141
9	6197.79101562	1297.4708252	348	27994	-1.76454496384
10	6199.09472656	1297.81774902	348	28000	-1.54006147385
11	6199.53027344	1297.92883301	348	28002	-1.10153543949
12	6199.74853516	1297.98364258	348	28003	-1.32079851627
13	6199.09228516	1297.82434082	348	28000	-0.657788932323
14	6168.27587891	1290.34973145	348	27859	-0.657788932323
15	6016.84375	1253.5357666	348	27166	-0.882272481918
16	5750.56396484	1186.48828125	348	25893	-0.882272481918
17	5345.71679688	1094.52819824	348	24025	-0.882272481918
18	4861.32177734	985.398376465	349	21891	-0.882272481918
19	4381.89794922	878.131835938	349	19631	-1.76454496384
20	3888.74926758	761.942993164	352	17374	-4.19209957123
21	3393.8425293	661.438232422	354	15207	-2.86608052254
22	2891.15991211	598.717346191	355	12954	0.0
23	2405.37207031	552.405151367	355	10704	0.0
24	1903.74133301	493.496551514	356	8461	-3.30982708931
25	1406.39172363	422.548828125	358	6226	-6.17590761185
26	916.668457031	370.617584229	1	4113	-3.97283625603
27	490.963745117	372.869689941	1	2219	1.32079851627
28	172.067687988	390.001220703	1	753	1.76454496384
29	-80.951965332	399.163024902	0	-327	0.438525944948
30	-300.863983154	401.842712402	0	-1347	-0.882272481918
31	-592.758056641	402.568084717	1	-2653	-0.882272481918
32	-953.178527832	408.975311279	1	-4206	0.0
33	-1356.74072266	417.918334961	1	-6001	0.0
34	-1692.20117188	424.050292969	1	-7540	-1.10153543949
35	-1943.8203125	421.252624512	2	-8612	-2.86608052254
36	-2104.15380859	420.741455078	2	-9344	-1.76454496384
37	-2185.07836914	422.968231201	2	-9693	0.0
38	-2202.15063477	423.704925537	2	-9760	0.657788932323
39	-2201.02758789	423.639770508	2	-9756	0.657788932323
40	-2200.80297852	423.626739502	2	-9755	0.657788932323
41	-2200.80297852	423.626739502	2	-9755	0.0
42	-2200.80297852	423.626739502	2	-9755	0.0
43	-2200.80297852	423.626739502	2	-9755	0.0
44	-2200.80297852	423.626739502	2	-9755	0.0
45	-2200.80297852	423.626739502	2	-9755	0.0
46	-2200.80297852	423.626739502	2	-9755	1.32079851627
47	-2200.80297852	423.626739502	2	-9755	1.98380792141
48	-2195.8737793	423.202148438	2	-9733	2.42755436897
49	-2110.05639648	413.629272461	3	-9349	3.97283625603
50	-1820.48217773	378.764343262	4	-8052	1.98380792141
51	-1280.03125	344.495147705	3	-5643	-2.86608052254
52	-519.876831055	357.721466064	0	-2114	-2.20307087898
53	466.116607666	332.079345703	1	2294	2.42755436897
54	1501.28308105	236.347473145	4	6749	1.10153543949
55	2535.83544922	165.431854248	3	11362	-3.52908992767
56	3572.44604492	211.699539185	0	15977	-2.42755436897
57	4605.72167969	221.585128784	0	20575	2.86608052254
58	5538.22705078	151.009963989	3	24734	2.64681744576
59	6287.80761719	80.6808013916	4	28196	0.657788932323
60	6912.796875	31.7450504303	4	30963	-0.438525944948
61	7385.16308594	5.64575624466	3	-32501	-1.32079851627
62	7700.15185547	-7.32791614532	3	-31125	-0.657788932323
63	7861.13916016	-16.2707023621	3	-30444	0.438525944948
64	7886.49462891	-17.9841041565	3	-30331	0.657788932323
65	7871.24169922	-16.9017486572	3	-30399	0.657788932323
