###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	0.0	0.0	0	0	1.54006147385
2	0.0	0.0	0	0	1.54006147385
3	0.0	0.0	0	0	1.54006147385
4	0.0	0.0	0	0	1.76454496384
5	0.0	0.0	0	0	1.76454496384
6	0.0	0.0	0	0	1.76454496384
7	0.0	0.0	0	0	1.76454496384
8	0.0	0.0	0	0	1.76454496384
9	0.0	0.0	0	0	1.54006147385
10	0.0	0.0	0	0	1.54006147385
11	0.0	0.0	0	0	1.54006147385
12	0.0	0.0	0	0	1.76454496384
13	0.0	0.0	0	0	1.76454496384
14	0.0	0.0	0	0	1.76454496384
15	0.0	0.0	0	0	1.76454496384
16	0.0	0.0	0	0	1.54006147385
17	0.0	0.0	0	0	1.54006147385
18	0.0	0.0	0	0	1.54006147385
19	0.0	0.0	0	0	1.54006147385
20	0.0	0.0	0	0	1.32079851627
21	0.0	0.0	0	0	1.10153543949
22	0.0	0.0	0	0	1.10153543949
23	0.0	0.0	0	0	1.10153543949
24	0.0	0.0	0	0	0.219262972474
25	0.0	0.0	0	0	0.657788932323
26	0.0	0.0	0	0	1.10153543949
27	0.0	0.0	0	0	1.54006147385
28	0.0	0.0	0	0	1.54006147385
29	0.0	0.0	0	0	1.76454496384
30	0.0	0.0	0	0	1.76454496384
31	0.0	0.0	0	0	1.76454496384
32	0.0	0.0	0	0	1.54006147385
33	0.0	0.0	0	0	1.54006147385
34	0.0	0.0	0	0	1.54006147385
35	0.0	0.0	0	0	1.76454496384
36	0.0	0.0	0	0	1.76454496384
37	0.0	0.0	0	0	1.76454496384
38	0.0	0.0	0	0	1.76454496384
39	0.0	0.0	0	0	1.54006147385
40	0.0	0.0	0	0	-4.63062524796
41	7.62074661255	0.620256125927	0	36	-4.63062524796
42	34.9618530273	2.89349150658	0	163	-4.63062524796
43	96.7921600342	8.30880451202	0	432	-4.63062524796
44	181.872436523	16.2921695709	359	812	-1.76454496384
45	306.495941162	10.7971887589	0	1367	4.85510873795
46	497.274505615	-4.2758936882	0	2218	3.97283625603
47	770.629821777	-24.8524951935	1	3437	2.64681744576
48	1106.66223145	-52.773235321	2	4997	2.42755436897
49	1528.59069824	-94.5863037109	3	6822	2.42755436897
50	2018.22839355	-155.201385498	5	9016	2.42755436897
51	2514.29638672	-227.084518433	6	11325	2.20307087898
52	2971.9296875	-304.511474609	7	13309	2.64681744576
53	3332.27514648	-377.546142578	9	14944	2.86608052254
54	3628.52880859	-445.239624023	10	16341	2.64681744576
55	3931.99462891	-514.901733398	11	17680	2.64681744576
56	4241.32373047	-595.084716797	12	19101	2.64681744576
57	4549.88134766	-679.903869629	13	20524	2.42755436897
58	4845.37255859	-765.481811523	14	21942	2.64681744576
59	5140.73242188	-860.796264648	15	23312	2.86608052254
60	5371.32666016	-934.682373047	15	24349	2.86608052254
61	5523.00830078	-989.142089844	16	25087	2.86608052254
62	5667.09472656	-1036.49902344	16	25740	1.10153543949
63	5785.33886719	-1071.95178223	16	26308	-1.76454496384
64	5887.69140625	-1098.29553223	16	26759	-3.52908992767
65	6002.00146484	-1120.60656738	15	27277	-6.40039110184
66	6144.8828125	-1139.44824219	14	27918	-9.04720878601
67	6311.47363281	-1147.9432373	12	28660	-12.1377725601
68	6510.57373047	-1137.62438965	9	29547	-14.7845897675
69	6721.07519531	-1105.74182129	5	30530	-16.1106090546
70	6969.30566406	-1047.33203125	0	31629	-16.329870224
71	7227.08789062	-959.176391602	355	32841	-16.7736167908
72	7477.48535156	-845.070373535	350	34110	-15.6668624878
73	7681.390625	-742.993896484	346	35079	-12.5815191269
74	7804.04492188	-679.100463867	344	35694	-11.6940259933
75	7858.13671875	-649.421691895	343	35973	-11.2554998398
76	7869.80126953	-643.742248535	343	36026	-10.811753273
77	7892.31103516	-632.447509766	343	36138	-7.94567251205
78	7948.68115234	-606.78125	342	36422	-3.0853433609
79	7998.80078125	-588.434448242	342	36659	-2.20307087898
80	8006.81054688	-585.845031738	342	36688	-1.54006147385
81	8006.81445312	-585.855651855	342	36688	1.32079851627
82	8007.24511719	-585.726623535	342	36690	1.54006147385
83	8007.24511719	-585.726623535	342	36690	1.54006147385
84	8007.24511719	-585.726623535	342	36690	1.54006147385
85	8007.24511719	-585.726623535	342	36690	1.54006147385
86	8007.24511719	-585.726623535	342	36690	1.54006147385
87	8007.24511719	-585.726623535	342	36690	1.54006147385
88	8007.24511719	-585.726623535	342	36690	1.54006147385
89	8007.24511719	-585.726623535	342	36690	1.54006147385
90	8007.24511719	-585.726623535	342	36690	1.54006147385
91	8007.24511719	-585.726623535	342	36690	1.54006147385
92	8007.24511719	-585.726623535	342	36690	1.54006147385
93	8007.24511719	-585.726623535	342	36690	1.54006147385
94	8007.24511719	-585.726623535	342	36690	1.54006147385
95	8007.24511719	-585.726623535	342	36690	1.54006147385
96	8007.24511719	-585.726623535	342	36690	1.54006147385
97	8007.24511719	-585.726623535	342	36690	1.54006147385
98	8007.24511719	-585.726623535	342	36690	1.54006147385
99	8007.24511719	-585.726623535	342	36690	1.54006147385
100	8007.24511719	-585.726623535	342	36690	1.54006147385
101	8007.24511719	-585.726623535	342	36690	1.54006147385
102	8007.24511719	-585.726623535	342	36690	1.54006147385
103	8007.24511719	-585.726623535	342	36690	1.54006147385
104	8007.24511719	-585.726623535	342	36690	1.54006147385
105	8007.24511719	-585.726623535	342	36690	1.54006147385
106	8007.24511719	-585.726623535	342	36690	1.54006147385
107	8007.24511719	-585.726623535	342	36690	1.54006147385
108	8007.24511719	-585.726623535	342	36690	1.54006147385
109	8007.24511719	-585.726623535	342	36690	1.54006147385
110	8007.24511719	-585.726623535	342	36690	1.54006147385
111	8007.24511719	-585.726623535	342	36690	1.54006147385
112	8007.24511719	-585.726623535	342	36690	1.54006147385
113	8007.24511719	-585.726623535	342	36690	1.54006147385
114	8007.24511719	-585.726623535	342	36690	1.54006147385
