###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	0.0	0.0	0	0	5.95664453506
2	0.0	0.0	0	0	5.95664453506
3	0.0	0.0	0	0	5.95664453506
4	0.0	0.0	0	0	5.95664453506
5	0.0	0.0	0	0	5.95664453506
6	0.0	0.0	0	0	5.73738098145
7	0.0	0.0	0	0	5.95664453506
8	0.0	0.0	0	0	5.95664453506
9	0.0	0.0	0	0	-3.97283625603
10	0.0	0.0	0	0	-4.63062524796
11	0.0	0.0	0	0	-4.63062524796
12	0.0	0.0	0	0	-4.63062524796
13	0.0	0.0	0	0	-4.63062524796
14	0.0	0.0	0	0	-4.63062524796
15	0.0	0.0	0	0	-4.63062524796
16	0.0	0.0	0	0	-4.63062524796
17	0.0	0.0	0	0	-4.63062524796
18	0.0	0.0	0	0	-4.63062524796
19	0.0	0.0	0	0	-4.63062524796
20	0.0	0.0	0	0	-4.63062524796
21	0.0	0.0	0	0	-4.63062524796
22	0.0	0.0	0	0	-4.63062524796
23	0.0	0.0	0	0	-4.63062524796
24	0.0	0.0	0	0	-4.63062524796
25	0.0	0.0	0	0	-4.63062524796
26	0.0	0.0	0	0	-4.63062524796
27	0.0	0.0	0	0	-4.63062524796
28	0.0	0.0	0	0	-4.63062524796
29	0.0	0.0	0	0	-4.63062524796
30	0.0	0.0	0	0	-4.63062524796
31	0.0	0.0	0	0	-4.63062524796
32	0.0	0.0	0	0	-4.63062524796
33	0.0	0.0	0	0	-4.63062524796
34	0.0	0.0	0	0	-4.63062524796
35	0.0	0.0	0	0	-4.63062524796
36	0.0	0.0	0	0	-4.63062524796
37	0.0	0.0	0	0	-4.63062524796
38	0.0	0.0	0	0	-4.63062524796
39	0.0	0.0	0	0	-4.63062524796
40	0.0	0.0	0	0	-4.63062524796
41	0.0	0.0	0	0	-4.63062524796
42	0.0	0.0	0	0	-4.63062524796
43	0.0	0.0	0	0	-4.63062524796
44	0.0	0.0	0	0	-4.63062524796
45	0.0	0.0	0	0	-4.63062524796
46	0.0	0.0	0	0	-4.63062524796
47	0.0	0.0	0	0	-4.63062524796
48	0.0	0.0	0	0	-4.63062524796
49	0.0	0.0	0	0	-4.63062524796
50	0.0	0.0	0	0	-4.63062524796
51	0.0	0.0	0	0	-4.63062524796
52	0.0	0.0	0	0	-4.63062524796
53	0.0	0.0	0	0	-4.63062524796
54	0.0	0.0	0	0	-4.63062524796
55	0.0	0.0	0	0	-4.41136264801
56	0.0	0.0	0	0	-4.41136264801
57	0.0	0.0	0	0	-4.41136264801
