bits per word: 8
max speed: 500000 Hz (500 KHz)
DIO initialized
DAC initialized
Encoder Initialized
Encoder Initialized


 STEERING --> bringing the steering to the center
 CAN THREAD - Starting can thread
MOTION CONTROLLER THREAD STARTED-----> The given argument was : thread startedEncoder cleared
Encoder cleared

HEARTBEAT_THREAD-----> The given argument was : thread started
CAN_THREAD-----> The given argument was : thread started
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
