###Truck route record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	0.0	0.0	0	0	1.98380792141
2	0.0	0.0	0	0	1.98380792141
3	0.0	0.0	0	0	1.98380792141
4	0.0	0.0	0	0	1.98380792141
5	0.0	0.0	0	0	1.10153543949
6	0.0	0.0	0	0	1.10153543949
7	3.37236595154	-0.0753561407328	0	15	1.32079851627
8	50.3383140564	-1.84192836285	0	224	2.42755436897
9	148.730606079	-6.61369228363	0	683	2.20307087898
10	309.157226562	-13.0507421494	0	1376	1.32079851627
11	499.55480957	-18.3964862823	0	2253	0.0
12	682.601257324	-19.7751522064	0	3037	-0.438525944948
13	861.38092041	-20.1670341492	0	3858	-0.657788932323
14	1085.58703613	-19.9061546326	0	4861	-0.657788932323
15	1348.91552734	-18.3247413635	0	6037	-1.10153543949
16	1595.9309082	-10.6919879913	0	7140	-2.42755436897
17	1864.42700195	4.86603116989	359	8340	-3.52908992767
18	2132.30249023	41.2860450745	357	9498	-9.04720878601
19	2324.73535156	93.4774932861	355	10385	-12.1377725601
20	2478.40673828	147.212997437	352	11109	-12.5815191269
21	2644.68310547	214.65397644	350	11938	-13.2393083572
22	2832.49462891	313.771148682	346	12852	-16.5543556213
23	3026.31591797	447.20401001	341	13899	-18.3188991547
24	3218.27612305	611.846313477	335	15063	-18.3188991547
25	3382.92236328	782.850219727	330	16117	-18.5381641388
26	3518.36767578	950.882507324	326	17073	-18.5381641388
27	3635.68164062	1123.40917969	321	18002	-18.5381641388
28	3748.88305664	1321.56396484	316	19020	-17.4366283417
29	3853.96118164	1539.95446777	311	20099	-17.2121448517
30	3942.65478516	1766.49108887	306	21182	-16.1106090546
31	4014.77197266	1998.33874512	302	22223	-16.1106090546
32	4067.04467773	2240.40454102	297	23364	-16.329870224
33	4101.15527344	2486.22021484	292	24429	-16.329870224
34	4113.90722656	2726.89331055	287	25501	-16.1106090546
35	4107.60693359	2964.46313477	283	26558	-15.2283363342
36	4090.81274414	3201.98681641	279	27617	-14.1268005371
37	4060.84887695	3441.63500977	275	28691	-11.9185085297
38	4025.32177734	3687.35644531	272	29835	-10.1487436295
39	3981.3293457	3938.48266602	269	30930	-9.49095535278
40	3925.46582031	4171.25634766	266	31993	-10.1487436295
41	3858.85986328	4400.81884766	263	33056	-8.82794570923
42	3800.86352539	4633.82275391	261	34124	-3.74835276604
43	3746.72583008	4865.96533203	260	35222	-2.42755436897
44	3696.33349609	5108.6640625	260	36327	-1.54006147385
45	3640.72753906	5358.00634766	259	37424	-1.54006147385
46	3589.10595703	5592.49902344	259	38490	0.0
47	3541.83325195	5828.20166016	259	39598	0.0
48	3492.88476562	6062.41259766	259	40661	-0.438525944948
49	3443.22094727	6304.35742188	259	41723	-0.882272481918
50	3383.56054688	6533.95410156	258	42776	-3.52908992767
51	3308.20825195	6760.71337891	257	43839	-7.28266334534
52	3212.0559082	6977.23095703	254	44893	-10.811753273
53	3094.66552734	7191.43457031	251	45989	-12.1377725601
54	2955.78198242	7386.22119141	247	47080	-14.1268005371
55	2802.64941406	7574.16796875	243	48137	-15.4475984573
56	2629.74560547	7738.61572266	238	49202	-17.2121448517
57	2434.96679688	7884.40185547	233	50260	-17.4366283417
58	2232.73901367	8014.24365234	228	51329	-17.4366283417
59	2022.96618652	8125.92773438	223	52386	-16.7736167908
60	1802.55957031	8221.6875	219	53455	-17.4366283417
61	1570.95056152	8295.93652344	213	54537	-18.0996379852
62	1334.95092773	8346.8984375	208	55611	-18.0996379852
63	1096.31884766	8377.36132812	203	56719	-17.2121448517
64	853.458129883	8395.50292969	198	57802	-14.3460636139
65	611.204711914	8403.12109375	194	58842	-14.1268005371
66	369.022766113	8393.5625	190	59961	-14.1268005371
67	126.126037598	8367.2578125	186	61046	-13.4637908936
68	-121.240760803	8326.41503906	182	62122	-13.4637908936
69	-345.03427124	8272.15722656	179	63181	-12.1377725601
70	-585.570861816	8209.20410156	175	64252	-10.5924901962
71	-810.713745117	8143.67529297	173	65330	-7.06340026855
72	-1048.79345703	8080.44238281	171	66390	-6.40039110184
73	-1277.44384766	8012.27001953	169	67451	-5.5181183815
74	-1506.07543945	7943.25488281	168	68513	-3.52908992767
75	-1742.85290527	7874.14306641	167	69645	-2.20307087898
76	-1978.90527344	7809.57763672	166	70698	-1.76454496384
77	-2200.25805664	7741.91259766	166	71763	-2.42755436897
78	-2428.2434082	7670.01367188	165	72824	-2.86608052254
79	-2658.88110352	7593.02636719	164	73872	-3.52908992767
80	-2884.26367188	7505.71044922	163	74980	-3.30982708931
81	-3109.03710938	7420.49707031	162	76049	-2.20307087898
82	-3341.75097656	7340.99658203	162	77109	-0.657788932323
83	-3566.32080078	7261.73486328	162	78168	-0.882272481918
84	-3792.95019531	7180.20947266	161	79239	-0.882272481918
85	-4016.85693359	7098.43212891	161	80337	-1.10153543949
86	-4246.25195312	7011.42138672	161	81430	-1.76454496384
87	-4493.60595703	6903.92480469	160	82702	-2.20307087898
88	-4763.23876953	6796.95849609	159	83879	-2.20307087898
89	-5011.078125	6689.06298828	159	85081	-1.76454496384
90	-5256.87353516	6580.42871094	158	86276	-1.76454496384
91	-5512.55712891	6466.36083984	158	87564	-0.882272481918
92	-5767.5625	6353.53125	157	88761	-0.882272481918
93	-6012.96289062	6243.45654297	157	90002	-0.882272481918
94	-6264.64306641	6128.17285156	157	91188	-1.32079851627
95	-6506.87695312	6012.85986328	156	92381	-1.54006147385
96	-6745.83154297	5896.43408203	156	93605	-1.32079851627
97	-6982.43554688	5776.28027344	155	94776	-0.882272481918
98	-7227.67333984	5660.87255859	155	95948	-0.438525944948
99	-7461.1640625	5542.28125	155	97147	-0.882272481918
100	-7708.13085938	5424.03222656	155	98330	-0.657788932323
101	-7944.50830078	5305.93847656	155	99505	-0.657788932323
102	-8181.7734375	5185.11474609	154	100689	-0.882272481918
103	-8420.61816406	5061.94921875	154	101927	-0.657788932323
104	-8657.79394531	4935.01367188	154	103114	-0.657788932323
105	-8896.5078125	4815.06787109	154	104311	-0.657788932323
106	-9134.859375	4692.41699219	153	105502	0.0
107	-9376.39648438	4571.07177734	154	106704	0.438525944948
108	-9618.57324219	4452.02636719	154	107862	0.882272481918
109	-9858.72070312	4336.51220703	154	109090	0.882272481918
110	-10109.5361328	4216.72607422	154	110324	0.438525944948
111	-10344.9921875	4096.81347656	154	111493	-1.10153543949
112	-10584.4599609	3963.41845703	153	112711	-3.97283625603
