###Truck replay sensors record
###S.No.	VF	VL	Heading	Encoder-Raw	Tiller-Angle
1	681.909179688	259.929656982	-25640	41844	3.0853433609
2	681.909179688	259.929656982	-25640	41844	3.0853433609
3	681.909179688	259.929656982	-25640	41844	3.0853433609
4	681.909179688	259.929656982	-25640	41844	3.0853433609
5	681.909179688	259.929656982	-25640	41844	3.0853433609
6	681.909179688	259.929656982	-25640	41844	3.0853433609
7	681.909179688	259.929656982	-25640	41844	3.0853433609
8	681.909179688	259.929656982	-25640	41844	3.0853433609
9	681.909179688	259.929656982	-25640	41844	3.0853433609
10	681.909179688	259.929656982	-25640	41844	3.0853433609
11	681.909179688	259.929656982	-25640	41844	3.0853433609
12	681.909179688	259.929656982	-25640	41844	3.0853433609
13	681.909179688	259.929656982	-25640	41844	3.0853433609
14	681.909179688	259.929656982	-25640	41844	3.0853433609
15	681.909179688	259.929656982	-25640	41844	3.0853433609
16	681.909179688	259.929656982	-25640	41844	3.0853433609
17	681.909179688	259.929656982	-25640	41844	3.0853433609
18	681.909179688	259.929656982	-25640	41844	3.0853433609
19	681.909179688	259.929656982	-25640	41844	3.0853433609
20	681.909179688	259.929656982	-25640	41844	3.0853433609
21	681.909179688	259.929656982	-25640	41844	3.0853433609
22	681.909179688	259.929656982	-25640	41844	3.0853433609
23	681.909179688	259.929656982	-25640	41844	3.0853433609
24	681.909179688	259.929656982	-25640	41844	3.0853433609
25	681.909179688	259.929656982	-25640	41844	3.0853433609
26	681.909179688	259.929656982	-25640	41844	3.0853433609
27	681.909179688	259.929656982	-25640	41844	3.0853433609
28	681.909179688	259.929656982	-25640	41844	3.0853433609
29	681.909179688	259.929656982	-25640	41844	3.0853433609
30	681.909179688	259.929656982	-25640	41844	3.0853433609
31	681.909179688	259.929656982	-25640	41844	3.0853433609
32	681.909179688	259.929656982	-25640	41844	3.0853433609
33	681.909179688	259.929656982	-25640	41844	3.0853433609
34	681.909179688	259.929656982	-25640	41844	3.0853433609
35	681.909179688	259.929656982	-25640	41844	3.0853433609
36	681.909179688	259.929656982	-25640	41844	3.0853433609
37	681.909179688	259.929656982	-25640	41844	3.0853433609
38	681.909179688	259.929656982	-25640	41844	3.0853433609
39	681.909179688	259.929656982	-25640	41844	3.0853433609
40	681.909179688	259.929656982	-25640	41844	3.0853433609
41	681.909179688	259.929656982	-25640	41844	3.0853433609
42	681.909179688	259.929656982	-25640	41844	3.0853433609
43	681.909179688	259.929656982	-25640	41844	3.0853433609
44	681.909179688	259.929656982	-25640	41844	3.0853433609
45	681.909179688	259.929656982	-25640	41844	3.0853433609
46	681.909179688	259.929656982	-25640	41844	3.0853433609
47	681.909179688	259.929656982	-25640	41844	3.0853433609
48	681.909179688	259.929656982	-25640	41844	3.0853433609
49	681.909179688	259.929656982	-25640	41844	3.0853433609
50	681.909179688	259.929656982	-25640	41844	3.0853433609
51	681.909179688	259.929656982	-25640	41844	3.0853433609
52	681.909179688	259.929656982	-25640	41844	3.0853433609
53	681.909179688	259.929656982	-25640	41844	3.0853433609
54	681.909179688	259.929656982	-25640	41844	3.0853433609
55	681.909179688	259.929656982	-25640	41844	3.0853433609
56	681.909179688	259.929656982	-25640	41844	3.0853433609
57	681.909179688	259.929656982	-25640	41844	3.0853433609
58	681.909179688	259.929656982	-25640	41844	3.0853433609
59	681.909179688	259.929656982	-25640	41844	3.0853433609
60	681.909179688	259.929656982	-25640	41844	3.0853433609
61	681.909179688	259.929656982	-25640	41844	3.0853433609
62	681.909179688	259.929656982	-25640	41844	3.0853433609
63	681.909179688	259.929656982	-25640	41844	3.0853433609
64	681.909179688	259.929656982	-25640	41844	3.0853433609
65	681.909179688	259.929656982	-25640	41844	3.0853433609
66	681.909179688	259.929656982	-25640	41844	3.0853433609
67	681.909179688	259.929656982	-25640	41844	3.0853433609
68	681.909179688	259.929656982	-25640	41844	3.0853433609
69	681.909179688	259.929656982	-25640	41844	3.0853433609
70	681.909179688	259.929656982	-25640	41844	3.0853433609
71	681.909179688	259.929656982	-25640	41844	3.0853433609
72	681.909179688	259.929656982	-25640	41844	3.0853433609
73	681.909179688	259.929656982	-25640	41844	3.0853433609
74	681.909179688	259.929656982	-25640	41844	3.0853433609
75	681.909179688	259.929656982	-25640	41844	3.0853433609
76	681.909179688	259.929656982	-25640	41844	3.0853433609
77	681.909179688	259.929656982	-25640	41844	3.0853433609
78	681.909179688	259.929656982	-25640	41844	3.0853433609
79	681.909179688	259.929656982	-25640	41844	3.0853433609
80	681.909179688	259.929656982	-25640	41844	3.0853433609
81	681.909179688	259.929656982	-25640	41844	3.0853433609
82	681.909179688	259.929656982	-25640	41844	3.0853433609
83	681.909179688	259.929656982	-25640	41844	3.0853433609
84	681.909179688	259.929656982	-25640	41844	3.0853433609
85	681.909179688	259.929656982	-25640	41844	3.0853433609
86	681.909179688	259.929656982	-25640	41844	3.0853433609
87	681.909179688	259.929656982	-25640	41844	3.0853433609
